sector,shock
HS3,0.41029870054011114
HS2,0.35058695370767634
HS1,0.2632948769895969
SERV2,0.3495515334645093
SERV1,0.27115321561100064
REST1,0.3307740837880477
RETAIL2,0.2865864703000179
REST2,0.18124056075582698
RETAIL1,0.1906741842292467
ACCOM1,0.14110639549946002
HC2,0.1730515599836029
UTIL,0.6
CONST2,0.4797002138506076
SERV3,0.33273580317517926
MANUF2,0.24477610411807396
HC3,0.27163588720911774
AG3,0.4
CONST3,0.4733746247743082
CONST1,0.35867691248895894
HC1,0.29596975239816997
ACCOM2,0.2007772773499927
AG2,0.5
RETAIL3,0.5
