Economic_loss,Dislocation,Functionality,S
294555901.6,2850.855132,312.5061585,0
296526952.2,2505.175326,277.0604321,1
298498002.7,2456.696399,273.6937654,2
300469053.3,2431.677209,271.5318698,3
302440103.9,2414.00537,270.695967,4
304411154.4,2399.23421,270.0686035,5
306382205,2386.894231,271.7580004,6
308353255.6,2376.325191,273.3076664,7
310324306.1,2366.992358,273.9419232,8
312295356.7,2358.375421,273.3369826,9
314266407.3,2350.471324,273.7154141,10
316237457.8,2343.670371,274.8021184,11
318208508.4,2337.902387,275.4109958,12
320179559,2332.964713,276.2756661,13
322150609.6,2328.575945,275.8814036,14
324121660.1,2324.402669,274.6528767,15
326092710.7,2320.535871,275.7765856,16
328063761.3,2317.040413,276.5183633,17
330034811.8,2313.933142,277.38212,18
332005862.4,2311.145754,278.9122824,19
294555901.6,2850.855132,312.5061585,20
296526952.2,2505.175326,277.0604321,21
298498002.7,2456.696399,273.6937654,22
300469053.3,2431.677209,271.5318698,23
302440103.9,2414.00537,270.695967,24
304411154.4,2399.23421,270.0686035,25
306382205,2386.894231,271.7580004,26
308353255.6,2376.325191,273.3076664,27
310324306.1,2366.992358,273.9419232,28
312295356.7,2358.375421,273.3369826,29
314266407.3,2350.471324,273.7154141,30
316237457.8,2343.670371,274.8021184,31
318208508.4,2337.902387,275.4109958,32
320179559,2332.964713,276.2756661,33
322150609.6,2328.575945,275.8814036,34
324121660.1,2324.402669,274.6528767,35
326092710.7,2320.535871,275.7765856,36
328063761.3,2317.040413,276.5183633,37
330034811.8,2313.933142,277.38212,38
332005862.4,2311.145754,278.9122824,39
294555901.6,2850.855132,312.5061585,40
296526952.2,2505.175326,277.0604321,41
298498002.7,2456.696399,273.6937654,42
300469053.3,2431.677209,271.5318698,43
302440103.9,2414.00537,270.695967,44
304411154.4,2399.23421,270.0686035,45
306382205,2386.894231,271.7580004,46
308353255.6,2376.325191,273.3076664,47
310324306.1,2366.992358,273.9419232,48
312295356.7,2358.375421,273.3369826,49
314266407.3,2350.471324,273.7154141,50
316237457.8,2343.670371,274.8021184,51
318208508.4,2337.902387,275.4109958,52
320179559,2332.964713,276.2756661,53
322150609.6,2328.575945,275.8814036,54
324121660.1,2324.402669,274.6528767,55
326092710.7,2320.535871,275.7765856,56
328063761.3,2317.040413,276.5183633,57
330034811.8,2313.933142,277.38212,58
332005862.4,2311.145754,278.9122824,59
294555901.6,2850.855132,312.5061585,60
296526952.2,2505.175326,277.0604321,61
298498002.7,2456.696399,273.6937654,62
300469053.3,2431.677209,271.5318698,63
302440103.9,2414.00537,270.695967,64
304411154.4,2399.23421,270.0686035,65
306382205,2386.894231,271.7580004,66
308353255.6,2376.325191,273.3076664,67
310324306.1,2366.992358,273.9419232,68
312295356.7,2358.375421,273.3369826,69
314266407.3,2350.471324,273.7154141,70
316237457.8,2343.670371,274.8021184,71
318208508.4,2337.902387,275.4109958,72
320179559,2332.964713,276.2756661,73
322150609.6,2328.575945,275.8814036,74
324121660.1,2324.402669,274.6528767,75
326092710.7,2320.535871,275.7765856,76
328063761.3,2317.040413,276.5183633,77
330034811.8,2313.933142,277.38212,78
332005862.4,2311.145754,278.9122824,79
294555901.6,2850.855132,312.5061585,80
296526952.2,2505.175326,277.0604321,81
298498002.7,2456.696399,273.6937654,82
300469053.3,2431.677209,271.5318698,83
302440103.9,2414.00537,270.695967,84
304411154.4,2399.23421,270.0686035,85
306382205,2386.894231,271.7580004,86
308353255.6,2376.325191,273.3076664,87
310324306.1,2366.992358,273.9419232,88
312295356.7,2358.375421,273.3369826,89
314266407.3,2350.471324,273.7154141,90
316237457.8,2343.670371,274.8021184,91
318208508.4,2337.902387,275.4109958,92
320179559,2332.964713,276.2756661,93
322150609.6,2328.575945,275.8814036,94
324121660.1,2324.402669,274.6528767,95
326092710.7,2320.535871,275.7765856,96
328063761.3,2317.040413,276.5183633,97
330034811.8,2313.933142,277.38212,98
332005862.4,2311.145754,278.9122824,99
294555901.6,2850.855132,312.5061585,100
296526952.2,2505.175326,277.0604321,101
298498002.7,2456.696399,273.6937654,102
300469053.3,2431.677209,271.5318698,103
302440103.9,2414.00537,270.695967,104
304411154.4,2399.23421,270.0686035,105
306382205,2386.894231,271.7580004,106
308353255.6,2376.325191,273.3076664,107
310324306.1,2366.992358,273.9419232,108
312295356.7,2358.375421,273.3369826,109
314266407.3,2350.471324,273.7154141,110
316237457.8,2343.670371,274.8021184,111
318208508.4,2337.902387,275.4109958,112
320179559,2332.964713,276.2756661,113
322150609.6,2328.575945,275.8814036,114
324121660.1,2324.402669,274.6528767,115
326092710.7,2320.535871,275.7765856,116
328063761.3,2317.040413,276.5183633,117
330034811.8,2313.933142,277.38212,118
332005862.4,2311.145754,278.9122824,119
294555901.6,2850.855132,312.5061585,120
296526952.2,2505.175326,277.0604321,121
298498002.7,2456.696399,273.6937654,122
300469053.3,2431.677209,271.5318698,123
302440103.9,2414.00537,270.695967,124
304411154.4,2399.23421,270.0686035,125
306382205,2386.894231,271.7580004,126
308353255.6,2376.325191,273.3076664,127
310324306.1,2366.992358,273.9419232,128
