,Keys,Values,Z,S,K
2727,"('263fd907-2373-4905-b086-47a4b26503e9', 'W1', 3)",1.0,263fd907-2373-4905-b086-47a4b26503e9,W1,3
2728,"('26438138-6fd3-45b8-8215-345a375e9fbd', 'RC', 0)",1.0,26438138-6fd3-45b8-8215-345a375e9fbd,RC,0
2729,"('26438138-6fd3-45b8-8215-345a375e9fbd', 'RC', 1)",0.0,26438138-6fd3-45b8-8215-345a375e9fbd,RC,1
2730,"('26438138-6fd3-45b8-8215-345a375e9fbd', 'RC', 2)",0.0,26438138-6fd3-45b8-8215-345a375e9fbd,RC,2
2731,"('26438138-6fd3-45b8-8215-345a375e9fbd', 'RC', 3)",0.0,26438138-6fd3-45b8-8215-345a375e9fbd,RC,3
2732,"('264e708a-7741-4914-b832-597a4e6494d4', 'RC', 0)",1.0,264e708a-7741-4914-b832-597a4e6494d4,RC,0
2733,"('264e708a-7741-4914-b832-597a4e6494d4', 'RC', 1)",0.0,264e708a-7741-4914-b832-597a4e6494d4,RC,1
2734,"('264e708a-7741-4914-b832-597a4e6494d4', 'RC', 2)",0.0,264e708a-7741-4914-b832-597a4e6494d4,RC,2
2735,"('264e708a-7741-4914-b832-597a4e6494d4', 'RC', 3)",0.0,264e708a-7741-4914-b832-597a4e6494d4,RC,3
2736,"('2664fa16-e320-4183-b293-88e74dc33653', 'W1', 0)",0.0,2664fa16-e320-4183-b293-88e74dc33653,W1,0
2737,"('2664fa16-e320-4183-b293-88e74dc33653', 'W1', 1)",1.0,2664fa16-e320-4183-b293-88e74dc33653,W1,1
2738,"('2664fa16-e320-4183-b293-88e74dc33653', 'W1', 2)",0.0,2664fa16-e320-4183-b293-88e74dc33653,W1,2
2739,"('2664fa16-e320-4183-b293-88e74dc33653', 'W1', 3)",0.0,2664fa16-e320-4183-b293-88e74dc33653,W1,3
2740,"('2667274c-9179-48e4-be03-cb31359bf742', 'W1', 0)",1.0,2667274c-9179-48e4-be03-cb31359bf742,W1,0
2741,"('2667274c-9179-48e4-be03-cb31359bf742', 'W1', 1)",0.0,2667274c-9179-48e4-be03-cb31359bf742,W1,1
2742,"('2667274c-9179-48e4-be03-cb31359bf742', 'W1', 2)",0.0,2667274c-9179-48e4-be03-cb31359bf742,W1,2
2743,"('2667274c-9179-48e4-be03-cb31359bf742', 'W1', 3)",0.0,2667274c-9179-48e4-be03-cb31359bf742,W1,3
2744,"('267b21fd-504b-454a-af4e-84e492fba25e', 'RC', 0)",1.0,267b21fd-504b-454a-af4e-84e492fba25e,RC,0
2745,"('267b21fd-504b-454a-af4e-84e492fba25e', 'RC', 1)",0.0,267b21fd-504b-454a-af4e-84e492fba25e,RC,1
2746,"('267b21fd-504b-454a-af4e-84e492fba25e', 'RC', 2)",0.0,267b21fd-504b-454a-af4e-84e492fba25e,RC,2
2747,"('267b21fd-504b-454a-af4e-84e492fba25e', 'RC', 3)",0.0,267b21fd-504b-454a-af4e-84e492fba25e,RC,3
2748,"('26846753-ea00-4618-9341-69fd561ec519', 'RC', 0)",1.0,26846753-ea00-4618-9341-69fd561ec519,RC,0
2749,"('26846753-ea00-4618-9341-69fd561ec519', 'RC', 1)",0.0,26846753-ea00-4618-9341-69fd561ec519,RC,1
2750,"('26846753-ea00-4618-9341-69fd561ec519', 'RC', 2)",0.0,26846753-ea00-4618-9341-69fd561ec519,RC,2
2751,"('26846753-ea00-4618-9341-69fd561ec519', 'RC', 3)",0.0,26846753-ea00-4618-9341-69fd561ec519,RC,3
2752,"('269841cd-2293-41bd-be32-ccaa5d61cf11', 'RC', 0)",1.0,269841cd-2293-41bd-be32-ccaa5d61cf11,RC,0
2753,"('269841cd-2293-41bd-be32-ccaa5d61cf11', 'RC', 1)",0.0,269841cd-2293-41bd-be32-ccaa5d61cf11,RC,1
2754,"('269841cd-2293-41bd-be32-ccaa5d61cf11', 'RC', 2)",0.0,269841cd-2293-41bd-be32-ccaa5d61cf11,RC,2
2755,"('269841cd-2293-41bd-be32-ccaa5d61cf11', 'RC', 3)",0.0,269841cd-2293-41bd-be32-ccaa5d61cf11,RC,3
2756,"('26a57530-aa07-4026-9686-c450b0e7ea8d', 'W1', 0)",0.0,26a57530-aa07-4026-9686-c450b0e7ea8d,W1,0
2757,"('26a57530-aa07-4026-9686-c450b0e7ea8d', 'W1', 1)",1.0,26a57530-aa07-4026-9686-c450b0e7ea8d,W1,1
2758,"('26a57530-aa07-4026-9686-c450b0e7ea8d', 'W1', 2)",0.0,26a57530-aa07-4026-9686-c450b0e7ea8d,W1,2
2759,"('26a57530-aa07-4026-9686-c450b0e7ea8d', 'W1', 3)",0.0,26a57530-aa07-4026-9686-c450b0e7ea8d,W1,3
2760,"('26b1f357-9b89-4ba3-a795-7df7e0a869d7', 'W1', 0)",0.0,26b1f357-9b89-4ba3-a795-7df7e0a869d7,W1,0
2761,"('26b1f357-9b89-4ba3-a795-7df7e0a869d7', 'W1', 1)",1.0,26b1f357-9b89-4ba3-a795-7df7e0a869d7,W1,1
2762,"('26b1f357-9b89-4ba3-a795-7df7e0a869d7', 'W1', 2)",0.0,26b1f357-9b89-4ba3-a795-7df7e0a869d7,W1,2
2763,"('26b1f357-9b89-4ba3-a795-7df7e0a869d7', 'W1', 3)",0.0,26b1f357-9b89-4ba3-a795-7df7e0a869d7,W1,3
2764,"('26b225da-f44a-497d-b0b8-1717991fb2c5', 'RC', 0)",1.0,26b225da-f44a-497d-b0b8-1717991fb2c5,RC,0
2765,"('26b225da-f44a-497d-b0b8-1717991fb2c5', 'RC', 1)",0.0,26b225da-f44a-497d-b0b8-1717991fb2c5,RC,1
2766,"('26b225da-f44a-497d-b0b8-1717991fb2c5', 'RC', 2)",0.0,26b225da-f44a-497d-b0b8-1717991fb2c5,RC,2
2767,"('26b225da-f44a-497d-b0b8-1717991fb2c5', 'RC', 3)",0.0,26b225da-f44a-497d-b0b8-1717991fb2c5,RC,3
2768,"('26b2e8ed-b007-45c5-84d0-e0bb423cfc3c', 'RC', 0)",1.0,26b2e8ed-b007-45c5-84d0-e0bb423cfc3c,RC,0
2769,"('26b2e8ed-b007-45c5-84d0-e0bb423cfc3c', 'RC', 1)",0.0,26b2e8ed-b007-45c5-84d0-e0bb423cfc3c,RC,1
2770,"('26b2e8ed-b007-45c5-84d0-e0bb423cfc3c', 'RC', 2)",0.0,26b2e8ed-b007-45c5-84d0-e0bb423cfc3c,RC,2
2771,"('26b2e8ed-b007-45c5-84d0-e0bb423cfc3c', 'RC', 3)",0.0,26b2e8ed-b007-45c5-84d0-e0bb423cfc3c,RC,3
2772,"('26b33bce-41c3-4d1d-af81-77024a3b5118', 'W2', 0)",0.0,26b33bce-41c3-4d1d-af81-77024a3b5118,W2,0
2773,"('26b33bce-41c3-4d1d-af81-77024a3b5118', 'W2', 1)",1.0,26b33bce-41c3-4d1d-af81-77024a3b5118,W2,1
2774,"('26b33bce-41c3-4d1d-af81-77024a3b5118', 'W2', 2)",0.0,26b33bce-41c3-4d1d-af81-77024a3b5118,W2,2
2775,"('26b33bce-41c3-4d1d-af81-77024a3b5118', 'W2', 3)",0.0,26b33bce-41c3-4d1d-af81-77024a3b5118,W2,3
2776,"('26c7457d-e252-40a7-a5db-5091cb9a6fe8', 'W1', 0)",1.0,26c7457d-e252-40a7-a5db-5091cb9a6fe8,W1,0
2777,"('26c7457d-e252-40a7-a5db-5091cb9a6fe8', 'W1', 1)",0.0,26c7457d-e252-40a7-a5db-5091cb9a6fe8,W1,1
2778,"('26c7457d-e252-40a7-a5db-5091cb9a6fe8', 'W1', 2)",0.0,26c7457d-e252-40a7-a5db-5091cb9a6fe8,W1,2
2779,"('26c7457d-e252-40a7-a5db-5091cb9a6fe8', 'W1', 3)",0.0,26c7457d-e252-40a7-a5db-5091cb9a6fe8,W1,3
2780,"('26edd6b5-a478-4a6c-9e54-40dbc7395ae2', 'W2', 0)",1.0,26edd6b5-a478-4a6c-9e54-40dbc7395ae2,W2,0
2781,"('26edd6b5-a478-4a6c-9e54-40dbc7395ae2', 'W2', 1)",0.0,26edd6b5-a478-4a6c-9e54-40dbc7395ae2,W2,1
2782,"('26edd6b5-a478-4a6c-9e54-40dbc7395ae2', 'W2', 2)",0.0,26edd6b5-a478-4a6c-9e54-40dbc7395ae2,W2,2
2783,"('26edd6b5-a478-4a6c-9e54-40dbc7395ae2', 'W2', 3)",0.0,26edd6b5-a478-4a6c-9e54-40dbc7395ae2,W2,3
2784,"('26eeeba0-bf6b-4ec7-87a7-9d9dfc915080', 'W1', 0)",1.0,26eeeba0-bf6b-4ec7-87a7-9d9dfc915080,W1,0
2785,"('26eeeba0-bf6b-4ec7-87a7-9d9dfc915080', 'W1', 1)",0.0,26eeeba0-bf6b-4ec7-87a7-9d9dfc915080,W1,1
2786,"('26eeeba0-bf6b-4ec7-87a7-9d9dfc915080', 'W1', 2)",0.0,26eeeba0-bf6b-4ec7-87a7-9d9dfc915080,W1,2
2787,"('26eeeba0-bf6b-4ec7-87a7-9d9dfc915080', 'W1', 3)",0.0,26eeeba0-bf6b-4ec7-87a7-9d9dfc915080,W1,3
2788,"('26fdd08d-acc5-4338-bddd-88eba58c3487', 'W1', 0)",0.0,26fdd08d-acc5-4338-bddd-88eba58c3487,W1,0
2789,"('26fdd08d-acc5-4338-bddd-88eba58c3487', 'W1', 1)",0.0,26fdd08d-acc5-4338-bddd-88eba58c3487,W1,1
2790,"('26fdd08d-acc5-4338-bddd-88eba58c3487', 'W1', 2)",1.0,26fdd08d-acc5-4338-bddd-88eba58c3487,W1,2
2791,"('26fdd08d-acc5-4338-bddd-88eba58c3487', 'W1', 3)",0.0,26fdd08d-acc5-4338-bddd-88eba58c3487,W1,3
2792,"('26ffabd8-10db-45d7-b3d8-07a4ab72d45a', 'W1', 0)",1.0,26ffabd8-10db-45d7-b3d8-07a4ab72d45a,W1,0
2793,"('26ffabd8-10db-45d7-b3d8-07a4ab72d45a', 'W1', 1)",0.0,26ffabd8-10db-45d7-b3d8-07a4ab72d45a,W1,1
2794,"('26ffabd8-10db-45d7-b3d8-07a4ab72d45a', 'W1', 2)",0.0,26ffabd8-10db-45d7-b3d8-07a4ab72d45a,W1,2
2795,"('26ffabd8-10db-45d7-b3d8-07a4ab72d45a', 'W1', 3)",0.0,26ffabd8-10db-45d7-b3d8-07a4ab72d45a,W1,3
2796,"('2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8', 'W1', 0)",0.0,2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8,W1,0
2797,"('2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8', 'W1', 1)",1.0,2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8,W1,1
2798,"('2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8', 'W1', 2)",0.0,2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8,W1,2
2799,"('2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8', 'W1', 3)",0.0,2709bcb4-6b8e-4acc-899a-c4d9ff9e2de8,W1,3
2800,"('27121d33-91a7-43ad-aeff-ec89fb6383a7', 'W1', 0)",0.0,27121d33-91a7-43ad-aeff-ec89fb6383a7,W1,0
2801,"('27121d33-91a7-43ad-aeff-ec89fb6383a7', 'W1', 1)",1.0,27121d33-91a7-43ad-aeff-ec89fb6383a7,W1,1
2802,"('27121d33-91a7-43ad-aeff-ec89fb6383a7', 'W1', 2)",0.0,27121d33-91a7-43ad-aeff-ec89fb6383a7,W1,2
2803,"('27121d33-91a7-43ad-aeff-ec89fb6383a7', 'W1', 3)",0.0,27121d33-91a7-43ad-aeff-ec89fb6383a7,W1,3
2804,"('27136214-a9dd-429f-9633-b5fc81b9c3c6', 'W1', 0)",0.0,27136214-a9dd-429f-9633-b5fc81b9c3c6,W1,0
2805,"('27136214-a9dd-429f-9633-b5fc81b9c3c6', 'W1', 1)",1.0,27136214-a9dd-429f-9633-b5fc81b9c3c6,W1,1
2806,"('27136214-a9dd-429f-9633-b5fc81b9c3c6', 'W1', 2)",0.0,27136214-a9dd-429f-9633-b5fc81b9c3c6,W1,2
2807,"('27136214-a9dd-429f-9633-b5fc81b9c3c6', 'W1', 3)",0.0,27136214-a9dd-429f-9633-b5fc81b9c3c6,W1,3
2808,"('27178c6c-7a3f-4cb0-a73a-ce32538d6006', 'W1', 0)",1.0,27178c6c-7a3f-4cb0-a73a-ce32538d6006,W1,0
2809,"('27178c6c-7a3f-4cb0-a73a-ce32538d6006', 'W1', 1)",0.0,27178c6c-7a3f-4cb0-a73a-ce32538d6006,W1,1
2810,"('27178c6c-7a3f-4cb0-a73a-ce32538d6006', 'W1', 2)",0.0,27178c6c-7a3f-4cb0-a73a-ce32538d6006,W1,2
2811,"('27178c6c-7a3f-4cb0-a73a-ce32538d6006', 'W1', 3)",0.0,27178c6c-7a3f-4cb0-a73a-ce32538d6006,W1,3
2812,"('2722bdda-7e8a-45ed-9f1a-288f5946a1b2', 'RC', 0)",0.0,2722bdda-7e8a-45ed-9f1a-288f5946a1b2,RC,0
2813,"('2722bdda-7e8a-45ed-9f1a-288f5946a1b2', 'RC', 1)",0.0,2722bdda-7e8a-45ed-9f1a-288f5946a1b2,RC,1
2814,"('2722bdda-7e8a-45ed-9f1a-288f5946a1b2', 'RC', 2)",0.0,2722bdda-7e8a-45ed-9f1a-288f5946a1b2,RC,2
2815,"('2722bdda-7e8a-45ed-9f1a-288f5946a1b2', 'RC', 3)",1.0,2722bdda-7e8a-45ed-9f1a-288f5946a1b2,RC,3
2816,"('27543e32-2c45-42d0-9d78-cbcb1660de67', 'W1', 0)",0.0,27543e32-2c45-42d0-9d78-cbcb1660de67,W1,0
2817,"('27543e32-2c45-42d0-9d78-cbcb1660de67', 'W1', 1)",1.0,27543e32-2c45-42d0-9d78-cbcb1660de67,W1,1
2818,"('27543e32-2c45-42d0-9d78-cbcb1660de67', 'W1', 2)",0.0,27543e32-2c45-42d0-9d78-cbcb1660de67,W1,2
2819,"('27543e32-2c45-42d0-9d78-cbcb1660de67', 'W1', 3)",0.0,27543e32-2c45-42d0-9d78-cbcb1660de67,W1,3
2820,"('2759b473-7feb-418e-b7cb-e9a94c5e9183', 'W1', 0)",0.0,2759b473-7feb-418e-b7cb-e9a94c5e9183,W1,0
2821,"('2759b473-7feb-418e-b7cb-e9a94c5e9183', 'W1', 1)",1.0,2759b473-7feb-418e-b7cb-e9a94c5e9183,W1,1
2822,"('2759b473-7feb-418e-b7cb-e9a94c5e9183', 'W1', 2)",0.0,2759b473-7feb-418e-b7cb-e9a94c5e9183,W1,2
2823,"('2759b473-7feb-418e-b7cb-e9a94c5e9183', 'W1', 3)",0.0,2759b473-7feb-418e-b7cb-e9a94c5e9183,W1,3
2824,"('27650784-2508-40cb-86ec-ecc797ab2b8a', 'W1', 0)",1.0,27650784-2508-40cb-86ec-ecc797ab2b8a,W1,0
2825,"('27650784-2508-40cb-86ec-ecc797ab2b8a', 'W1', 1)",0.0,27650784-2508-40cb-86ec-ecc797ab2b8a,W1,1
2826,"('27650784-2508-40cb-86ec-ecc797ab2b8a', 'W1', 2)",0.0,27650784-2508-40cb-86ec-ecc797ab2b8a,W1,2
2827,"('27650784-2508-40cb-86ec-ecc797ab2b8a', 'W1', 3)",0.0,27650784-2508-40cb-86ec-ecc797ab2b8a,W1,3
2828,"('276feca0-c3cd-4ca9-a4bb-168d8b03bbc2', 'RC', 0)",1.0,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,RC,0
2829,"('276feca0-c3cd-4ca9-a4bb-168d8b03bbc2', 'RC', 1)",0.0,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,RC,1
2830,"('276feca0-c3cd-4ca9-a4bb-168d8b03bbc2', 'RC', 2)",0.0,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,RC,2
2831,"('276feca0-c3cd-4ca9-a4bb-168d8b03bbc2', 'RC', 3)",0.0,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,RC,3
2832,"('277543cc-0532-40f5-a001-c244f8c369e1', 'W1', 0)",1.0,277543cc-0532-40f5-a001-c244f8c369e1,W1,0
2833,"('277543cc-0532-40f5-a001-c244f8c369e1', 'W1', 1)",0.0,277543cc-0532-40f5-a001-c244f8c369e1,W1,1
2834,"('277543cc-0532-40f5-a001-c244f8c369e1', 'W1', 2)",0.0,277543cc-0532-40f5-a001-c244f8c369e1,W1,2
2835,"('277543cc-0532-40f5-a001-c244f8c369e1', 'W1', 3)",0.0,277543cc-0532-40f5-a001-c244f8c369e1,W1,3
2836,"('2775b4d7-519b-41cb-a10c-c186bfa8c30a', 'W1', 0)",0.0,2775b4d7-519b-41cb-a10c-c186bfa8c30a,W1,0
2837,"('2775b4d7-519b-41cb-a10c-c186bfa8c30a', 'W1', 1)",0.0,2775b4d7-519b-41cb-a10c-c186bfa8c30a,W1,1
2838,"('2775b4d7-519b-41cb-a10c-c186bfa8c30a', 'W1', 2)",0.0,2775b4d7-519b-41cb-a10c-c186bfa8c30a,W1,2
2839,"('2775b4d7-519b-41cb-a10c-c186bfa8c30a', 'W1', 3)",1.0,2775b4d7-519b-41cb-a10c-c186bfa8c30a,W1,3
2840,"('277a4dc7-1f92-4c8d-918b-eda5c181bfb2', 'RC', 0)",1.0,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,RC,0
2841,"('277a4dc7-1f92-4c8d-918b-eda5c181bfb2', 'RC', 1)",0.0,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,RC,1
2842,"('277a4dc7-1f92-4c8d-918b-eda5c181bfb2', 'RC', 2)",0.0,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,RC,2
2843,"('277a4dc7-1f92-4c8d-918b-eda5c181bfb2', 'RC', 3)",0.0,277a4dc7-1f92-4c8d-918b-eda5c181bfb2,RC,3
2844,"('27ad0793-3e0d-47fd-97a0-4b8a4951fb12', 'W1', 0)",1.0,27ad0793-3e0d-47fd-97a0-4b8a4951fb12,W1,0
2845,"('27ad0793-3e0d-47fd-97a0-4b8a4951fb12', 'W1', 1)",0.0,27ad0793-3e0d-47fd-97a0-4b8a4951fb12,W1,1
2846,"('27ad0793-3e0d-47fd-97a0-4b8a4951fb12', 'W1', 2)",0.0,27ad0793-3e0d-47fd-97a0-4b8a4951fb12,W1,2
2847,"('27ad0793-3e0d-47fd-97a0-4b8a4951fb12', 'W1', 3)",0.0,27ad0793-3e0d-47fd-97a0-4b8a4951fb12,W1,3
2848,"('27c696e0-342f-492e-9bd7-5324c08c725c', 'W1', 0)",0.0,27c696e0-342f-492e-9bd7-5324c08c725c,W1,0
2849,"('27c696e0-342f-492e-9bd7-5324c08c725c', 'W1', 1)",0.0,27c696e0-342f-492e-9bd7-5324c08c725c,W1,1
2850,"('27c696e0-342f-492e-9bd7-5324c08c725c', 'W1', 2)",0.0,27c696e0-342f-492e-9bd7-5324c08c725c,W1,2
2851,"('27c696e0-342f-492e-9bd7-5324c08c725c', 'W1', 3)",1.0,27c696e0-342f-492e-9bd7-5324c08c725c,W1,3
2852,"('27c77495-70b6-4e83-bd77-19c219f0a054', 'W1', 0)",1.0,27c77495-70b6-4e83-bd77-19c219f0a054,W1,0
2853,"('27c77495-70b6-4e83-bd77-19c219f0a054', 'W1', 1)",0.0,27c77495-70b6-4e83-bd77-19c219f0a054,W1,1
2854,"('27c77495-70b6-4e83-bd77-19c219f0a054', 'W1', 2)",0.0,27c77495-70b6-4e83-bd77-19c219f0a054,W1,2
2855,"('27c77495-70b6-4e83-bd77-19c219f0a054', 'W1', 3)",0.0,27c77495-70b6-4e83-bd77-19c219f0a054,W1,3
2856,"('27cae3e0-7c47-4817-a88b-19c1f5b3d2e3', 'RC', 0)",1.0,27cae3e0-7c47-4817-a88b-19c1f5b3d2e3,RC,0
2857,"('27cae3e0-7c47-4817-a88b-19c1f5b3d2e3', 'RC', 1)",0.0,27cae3e0-7c47-4817-a88b-19c1f5b3d2e3,RC,1
2858,"('27cae3e0-7c47-4817-a88b-19c1f5b3d2e3', 'RC', 2)",0.0,27cae3e0-7c47-4817-a88b-19c1f5b3d2e3,RC,2
2859,"('27cae3e0-7c47-4817-a88b-19c1f5b3d2e3', 'RC', 3)",0.0,27cae3e0-7c47-4817-a88b-19c1f5b3d2e3,RC,3
2860,"('27eb6d95-6fae-4f3a-8aa1-6f65f3f55977', 'RC', 0)",1.0,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,RC,0
2861,"('27eb6d95-6fae-4f3a-8aa1-6f65f3f55977', 'RC', 1)",0.0,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,RC,1
2862,"('27eb6d95-6fae-4f3a-8aa1-6f65f3f55977', 'RC', 2)",0.0,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,RC,2
2863,"('27eb6d95-6fae-4f3a-8aa1-6f65f3f55977', 'RC', 3)",0.0,27eb6d95-6fae-4f3a-8aa1-6f65f3f55977,RC,3
2864,"('27ec258b-1c7f-4528-ae32-41aca54f0e75', 'W1', 0)",1.0,27ec258b-1c7f-4528-ae32-41aca54f0e75,W1,0
2865,"('27ec258b-1c7f-4528-ae32-41aca54f0e75', 'W1', 1)",0.0,27ec258b-1c7f-4528-ae32-41aca54f0e75,W1,1
2866,"('27ec258b-1c7f-4528-ae32-41aca54f0e75', 'W1', 2)",0.0,27ec258b-1c7f-4528-ae32-41aca54f0e75,W1,2
2867,"('27ec258b-1c7f-4528-ae32-41aca54f0e75', 'W1', 3)",0.0,27ec258b-1c7f-4528-ae32-41aca54f0e75,W1,3
2868,"('27ef3227-db50-45e0-a04d-eb0c41a63446', 'RC', 0)",1.0,27ef3227-db50-45e0-a04d-eb0c41a63446,RC,0
2869,"('27ef3227-db50-45e0-a04d-eb0c41a63446', 'RC', 1)",0.0,27ef3227-db50-45e0-a04d-eb0c41a63446,RC,1
2870,"('27ef3227-db50-45e0-a04d-eb0c41a63446', 'RC', 2)",0.0,27ef3227-db50-45e0-a04d-eb0c41a63446,RC,2
2871,"('27ef3227-db50-45e0-a04d-eb0c41a63446', 'RC', 3)",0.0,27ef3227-db50-45e0-a04d-eb0c41a63446,RC,3
2872,"('27f9f5ab-4a24-445b-a2f1-391f5b5b0574', 'RC', 0)",0.0,27f9f5ab-4a24-445b-a2f1-391f5b5b0574,RC,0
2873,"('27f9f5ab-4a24-445b-a2f1-391f5b5b0574', 'RC', 1)",1.0,27f9f5ab-4a24-445b-a2f1-391f5b5b0574,RC,1
2874,"('27f9f5ab-4a24-445b-a2f1-391f5b5b0574', 'RC', 2)",0.0,27f9f5ab-4a24-445b-a2f1-391f5b5b0574,RC,2
2875,"('27f9f5ab-4a24-445b-a2f1-391f5b5b0574', 'RC', 3)",0.0,27f9f5ab-4a24-445b-a2f1-391f5b5b0574,RC,3
2876,"('2815e586-dc78-43a4-aef5-d766e6e63273', 'W1', 0)",0.0,2815e586-dc78-43a4-aef5-d766e6e63273,W1,0
2877,"('2815e586-dc78-43a4-aef5-d766e6e63273', 'W1', 1)",0.0,2815e586-dc78-43a4-aef5-d766e6e63273,W1,1
2878,"('2815e586-dc78-43a4-aef5-d766e6e63273', 'W1', 2)",0.0,2815e586-dc78-43a4-aef5-d766e6e63273,W1,2
2879,"('2815e586-dc78-43a4-aef5-d766e6e63273', 'W1', 3)",1.0,2815e586-dc78-43a4-aef5-d766e6e63273,W1,3
2880,"('282ca7de-0278-40a1-a7ac-2850f81b7491', 'RC', 0)",0.0,282ca7de-0278-40a1-a7ac-2850f81b7491,RC,0
2881,"('282ca7de-0278-40a1-a7ac-2850f81b7491', 'RC', 1)",1.0,282ca7de-0278-40a1-a7ac-2850f81b7491,RC,1
2882,"('282ca7de-0278-40a1-a7ac-2850f81b7491', 'RC', 2)",0.0,282ca7de-0278-40a1-a7ac-2850f81b7491,RC,2
2883,"('282ca7de-0278-40a1-a7ac-2850f81b7491', 'RC', 3)",0.0,282ca7de-0278-40a1-a7ac-2850f81b7491,RC,3
2884,"('284d5c42-7c80-4743-9cca-94fa2f48bde3', 'W2', 0)",1.0,284d5c42-7c80-4743-9cca-94fa2f48bde3,W2,0
2885,"('284d5c42-7c80-4743-9cca-94fa2f48bde3', 'W2', 1)",0.0,284d5c42-7c80-4743-9cca-94fa2f48bde3,W2,1
2886,"('284d5c42-7c80-4743-9cca-94fa2f48bde3', 'W2', 2)",0.0,284d5c42-7c80-4743-9cca-94fa2f48bde3,W2,2
2887,"('284d5c42-7c80-4743-9cca-94fa2f48bde3', 'W2', 3)",0.0,284d5c42-7c80-4743-9cca-94fa2f48bde3,W2,3
2888,"('284e3a55-a0bc-4c66-88ad-28c491882c4b', 'W1', 0)",0.0,284e3a55-a0bc-4c66-88ad-28c491882c4b,W1,0
2889,"('284e3a55-a0bc-4c66-88ad-28c491882c4b', 'W1', 1)",1.0,284e3a55-a0bc-4c66-88ad-28c491882c4b,W1,1
2890,"('284e3a55-a0bc-4c66-88ad-28c491882c4b', 'W1', 2)",0.0,284e3a55-a0bc-4c66-88ad-28c491882c4b,W1,2
2891,"('284e3a55-a0bc-4c66-88ad-28c491882c4b', 'W1', 3)",0.0,284e3a55-a0bc-4c66-88ad-28c491882c4b,W1,3
2892,"('2850683c-4b50-4ad2-a0ef-9bb7f9e341c8', 'W1', 0)",1.0,2850683c-4b50-4ad2-a0ef-9bb7f9e341c8,W1,0
2893,"('2850683c-4b50-4ad2-a0ef-9bb7f9e341c8', 'W1', 1)",0.0,2850683c-4b50-4ad2-a0ef-9bb7f9e341c8,W1,1
2894,"('2850683c-4b50-4ad2-a0ef-9bb7f9e341c8', 'W1', 2)",0.0,2850683c-4b50-4ad2-a0ef-9bb7f9e341c8,W1,2
2895,"('2850683c-4b50-4ad2-a0ef-9bb7f9e341c8', 'W1', 3)",0.0,2850683c-4b50-4ad2-a0ef-9bb7f9e341c8,W1,3
2896,"('285bebb4-2107-45e9-b353-b4650ab46eda', 'W1', 0)",0.0,285bebb4-2107-45e9-b353-b4650ab46eda,W1,0
2897,"('285bebb4-2107-45e9-b353-b4650ab46eda', 'W1', 1)",0.0,285bebb4-2107-45e9-b353-b4650ab46eda,W1,1
2898,"('285bebb4-2107-45e9-b353-b4650ab46eda', 'W1', 2)",0.0,285bebb4-2107-45e9-b353-b4650ab46eda,W1,2
2899,"('285bebb4-2107-45e9-b353-b4650ab46eda', 'W1', 3)",1.0,285bebb4-2107-45e9-b353-b4650ab46eda,W1,3
2900,"('2878750f-94a5-41da-990d-b1d39ffb566c', 'RC', 0)",1.0,2878750f-94a5-41da-990d-b1d39ffb566c,RC,0
2901,"('2878750f-94a5-41da-990d-b1d39ffb566c', 'RC', 1)",0.0,2878750f-94a5-41da-990d-b1d39ffb566c,RC,1
2902,"('2878750f-94a5-41da-990d-b1d39ffb566c', 'RC', 2)",0.0,2878750f-94a5-41da-990d-b1d39ffb566c,RC,2
2903,"('2878750f-94a5-41da-990d-b1d39ffb566c', 'RC', 3)",0.0,2878750f-94a5-41da-990d-b1d39ffb566c,RC,3
2904,"('2897221b-4e3e-4a52-9167-32208623b659', 'RC', 0)",1.0,2897221b-4e3e-4a52-9167-32208623b659,RC,0
2905,"('2897221b-4e3e-4a52-9167-32208623b659', 'RC', 1)",0.0,2897221b-4e3e-4a52-9167-32208623b659,RC,1
2906,"('2897221b-4e3e-4a52-9167-32208623b659', 'RC', 2)",0.0,2897221b-4e3e-4a52-9167-32208623b659,RC,2
2907,"('2897221b-4e3e-4a52-9167-32208623b659', 'RC', 3)",0.0,2897221b-4e3e-4a52-9167-32208623b659,RC,3
2908,"('289a64c5-4d3d-4007-a0fd-980b9de4cd42', 'W2', 0)",1.0,289a64c5-4d3d-4007-a0fd-980b9de4cd42,W2,0
