,Keys,Values,Z,S,K
38,"('00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc', 'W2', 2)",0.0,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,2
39,"('00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc', 'W2', 3)",0.0,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,3
40,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 0)",1.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0
41,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 1)",0.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,1
42,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 2)",0.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,2
43,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 3)",0.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,3
44,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 0)",1.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0
45,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 1)",0.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,1
46,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 2)",0.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,2
47,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 3)",0.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,3
48,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 0)",0.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0
49,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 1)",1.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,1
50,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 2)",0.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,2
51,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 3)",0.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,3
52,"('00d27b6b-3768-457d-bbef-5c76a5265a3a', 'W1', 0)",1.0,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,0
53,"('00d27b6b-3768-457d-bbef-5c76a5265a3a', 'W1', 1)",0.0,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,1
54,"('00d27b6b-3768-457d-bbef-5c76a5265a3a', 'W1', 2)",0.0,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,2
55,"('00d27b6b-3768-457d-bbef-5c76a5265a3a', 'W1', 3)",0.0,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,3
56,"('00d8556d-9ccf-43ee-a5e2-bb96730723a4', 'RC', 0)",1.0,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,0
57,"('00d8556d-9ccf-43ee-a5e2-bb96730723a4', 'RC', 1)",0.0,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,1
58,"('00d8556d-9ccf-43ee-a5e2-bb96730723a4', 'RC', 2)",0.0,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,2
59,"('00d8556d-9ccf-43ee-a5e2-bb96730723a4', 'RC', 3)",0.0,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,3
60,"('00dab1f9-c5d6-466b-a23b-c5efbd388b86', 'RC', 0)",1.0,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,0
61,"('00dab1f9-c5d6-466b-a23b-c5efbd388b86', 'RC', 1)",0.0,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,1
62,"('00dab1f9-c5d6-466b-a23b-c5efbd388b86', 'RC', 2)",0.0,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,2
63,"('00dab1f9-c5d6-466b-a23b-c5efbd388b86', 'RC', 3)",0.0,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,3
64,"('00f96602-b295-48d7-bdf1-c2281c219ba7', 'W2', 0)",1.0,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,0
65,"('00f96602-b295-48d7-bdf1-c2281c219ba7', 'W2', 1)",0.0,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,1
66,"('00f96602-b295-48d7-bdf1-c2281c219ba7', 'W2', 2)",0.0,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,2
67,"('00f96602-b295-48d7-bdf1-c2281c219ba7', 'W2', 3)",0.0,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,3
68,"('00ffb041-2c13-40a3-a11e-60d7a5ddf6e0', 'W1', 0)",1.0,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,0
69,"('00ffb041-2c13-40a3-a11e-60d7a5ddf6e0', 'W1', 1)",0.0,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,1
70,"('00ffb041-2c13-40a3-a11e-60d7a5ddf6e0', 'W1', 2)",0.0,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,2
71,"('00ffb041-2c13-40a3-a11e-60d7a5ddf6e0', 'W1', 3)",0.0,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,3
72,"('01008fe9-e56d-4a84-909b-93a5bbe9e523', 'RC', 0)",1.0,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,0
73,"('01008fe9-e56d-4a84-909b-93a5bbe9e523', 'RC', 1)",0.0,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,1
74,"('01008fe9-e56d-4a84-909b-93a5bbe9e523', 'RC', 2)",0.0,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,2
75,"('01008fe9-e56d-4a84-909b-93a5bbe9e523', 'RC', 3)",0.0,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,3
76,"('010eb54b-4602-44ab-a5ca-48502cb2387b', 'W1', 0)",0.0,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,0
77,"('010eb54b-4602-44ab-a5ca-48502cb2387b', 'W1', 1)",1.0,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,1
78,"('010eb54b-4602-44ab-a5ca-48502cb2387b', 'W1', 2)",0.0,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,2
79,"('010eb54b-4602-44ab-a5ca-48502cb2387b', 'W1', 3)",0.0,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,3
80,"('012722f6-6103-46cf-9f85-589399695d8e', 'W1', 0)",0.0,012722f6-6103-46cf-9f85-589399695d8e,W1,0
81,"('012722f6-6103-46cf-9f85-589399695d8e', 'W1', 1)",0.0,012722f6-6103-46cf-9f85-589399695d8e,W1,1
82,"('012722f6-6103-46cf-9f85-589399695d8e', 'W1', 2)",1.0,012722f6-6103-46cf-9f85-589399695d8e,W1,2
83,"('012722f6-6103-46cf-9f85-589399695d8e', 'W1', 3)",0.0,012722f6-6103-46cf-9f85-589399695d8e,W1,3
84,"('013ace75-ffbf-4ced-960d-ca09663d6e12', 'W2', 0)",0.0,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,0
85,"('013ace75-ffbf-4ced-960d-ca09663d6e12', 'W2', 1)",1.0,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,1
86,"('013ace75-ffbf-4ced-960d-ca09663d6e12', 'W2', 2)",0.0,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,2
87,"('013ace75-ffbf-4ced-960d-ca09663d6e12', 'W2', 3)",0.0,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,3
88,"('01536663-2db4-4ff8-a131-fa0f1fc941ca', 'W2', 0)",0.0,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,0
89,"('01536663-2db4-4ff8-a131-fa0f1fc941ca', 'W2', 1)",1.0,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,1
90,"('01536663-2db4-4ff8-a131-fa0f1fc941ca', 'W2', 2)",0.0,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,2
91,"('01536663-2db4-4ff8-a131-fa0f1fc941ca', 'W2', 3)",0.0,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,3
92,"('0153ab0b-1665-4d4e-8dac-0fb457fc8d90', 'W1', 0)",0.0,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,0
93,"('0153ab0b-1665-4d4e-8dac-0fb457fc8d90', 'W1', 1)",1.0,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,1
94,"('0153ab0b-1665-4d4e-8dac-0fb457fc8d90', 'W1', 2)",0.0,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,2
95,"('0153ab0b-1665-4d4e-8dac-0fb457fc8d90', 'W1', 3)",0.0,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,3
96,"('01544e47-9564-449e-8f9e-a62b2c140c2d', 'W1', 0)",0.0,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,0
97,"('01544e47-9564-449e-8f9e-a62b2c140c2d', 'W1', 1)",0.0,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,1
98,"('01544e47-9564-449e-8f9e-a62b2c140c2d', 'W1', 2)",0.0,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,2
99,"('01544e47-9564-449e-8f9e-a62b2c140c2d', 'W1', 3)",1.0,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,3
100,"('01569caf-9daf-4640-aa20-6c0e55a35c77', 'W1', 0)",0.0,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,0
101,"('01569caf-9daf-4640-aa20-6c0e55a35c77', 'W1', 1)",0.0,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,1
102,"('01569caf-9daf-4640-aa20-6c0e55a35c77', 'W1', 2)",1.0,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,2
103,"('01569caf-9daf-4640-aa20-6c0e55a35c77', 'W1', 3)",0.0,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,3
104,"('01591c2f-7af2-48a1-825c-15a24cb9d943', 'RC', 0)",1.0,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,0
105,"('01591c2f-7af2-48a1-825c-15a24cb9d943', 'RC', 1)",0.0,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,1
106,"('01591c2f-7af2-48a1-825c-15a24cb9d943', 'RC', 2)",0.0,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,2
107,"('01591c2f-7af2-48a1-825c-15a24cb9d943', 'RC', 3)",0.0,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,3
