Economic_loss,Dislocation,Functionality,S
321260047.5,2947.006042,352.7619414,1
322872205.6,2698.216581,329.4329042,2
324484363.8,2647.023329,324.5545445,3
326096521.9,2614.049152,322.0550157,4
327708680,2586.743586,319.7873688,5
329320838.2,2564.145418,319.9146104,6
330932996.3,2544.842062,319.2752676,7
332545154.5,2527.656061,318.0344398,8
334157312.6,2511.865296,315.7929149,9
335769470.8,2497.267503,314.5319566,10
337381628.9,2484.687958,314.8198152,11
338993787.1,2473.986493,314.5834522,12
340605945.2,2464.841662,314.3560198,13
342218103.4,2456.783888,313.9596908,14
343830261.5,2449.144341,311.5432559,15
345442419.6,2441.833545,310.7009982,16
347054577.8,2435.162579,310.3123262,17
348666735.9,2429.065995,310.4143361,18
350278894.1,2423.415676,310.9595947,19
351891052.2,2418.751629,311.7161546,20
321260047.5,2947.006042,352.7619414,21
322872205.6,2698.216581,329.4329042,22
324484363.8,2647.023831,324.6003614,23
326096521.9,2614.048404,322.0445031,24
327708680,2586.742605,319.6441057,25
329320838.2,2564.145418,319.9146104,26
330932996.3,2544.842062,319.2752676,27
332545154.5,2527.656061,318.0344398,28
334157312.6,2511.866011,315.9478932,29
335769470.8,2497.267503,314.5319566,30
337381628.9,2484.688065,314.8325307,31
338993787.1,2473.986271,314.4795418,32
340605945.2,2464.843607,314.3036013,33
342218103.4,2456.783772,313.8755092,34
343830261.5,2449.143179,311.6807377,35
345442419.6,2441.832686,310.7112289,36
347054577.8,2435.162579,310.3123262,37
348666735.9,2429.065366,310.3844679,38
350278894.1,2423.416595,310.7884195,39
351891052.2,2418.751103,311.5620084,40
321260047.5,2947.006042,352.7619414,41
322872205.6,2698.216353,329.6006791,42
324484363.8,2647.02341,324.7789068,43
326096521.9,2614.04945,322.1021788,44
327708680,2586.742605,319.6491877,45
329320838.2,2564.143849,320.0211621,46
330932996.3,2544.842062,319.2752676,47
332545154.5,2527.656061,318.0344398,48
334157312.6,2511.864355,315.9974914,49
335769470.8,2497.268719,314.800877,50
337381628.9,2484.686984,314.8600349,51
338993787.1,2473.988504,314.5304006,52
340605945.2,2464.842388,314.4613181,53
342218103.4,2456.783506,313.8602155,54
343830261.5,2449.143857,311.6080503,55
345442419.6,2441.833554,310.6171847,56
347054577.8,2435.163205,310.3463525,57
348666735.9,2429.064709,310.401405,58
350278894.1,2423.414713,310.93474,59
351891052.2,2418.753277,311.7862658,60
321260047.5,2947.006042,352.7619414,61
322872205.6,2698.216353,329.6006791,62
