,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,K',Sc
115,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,0,338227.0,288159.3302267554,769.0824989594155,0.0,2.0,0.8257680149583483,1.6515360299166966,0.0,3,439695.10000000003
128,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0,129243.0,22236.270342702333,112.97557595139318,0.0,0.0,0.0,0.0,0.0,0,0.0
129,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0,129243.0,22236.270342702333,112.97557595139318,0.0,0.0,0.0,0.0,0.0,1,38772.9
130,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0,129243.0,22236.270342702333,112.97557595139318,0.0,0.0,0.0,0.0,0.0,2,129243.0
131,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0,129243.0,22236.270342702333,112.97557595139318,0.0,0.0,0.0,0.0,0.0,3,168015.9
144,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0,93033.0,22703.43563742925,175.14077191076186,1.0,2.0,0.508498068289152,1.016996136578304,2.0,0,0.0
145,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0,93033.0,22703.43563742925,175.14077191076186,1.0,2.0,0.508498068289152,1.016996136578304,2.0,1,27909.899999999998
146,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0,93033.0,22703.43563742925,175.14077191076186,1.0,2.0,0.508498068289152,1.016996136578304,2.0,2,93033.0
147,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0,93033.0,22703.43563742925,175.14077191076186,1.0,2.0,0.508498068289152,1.016996136578304,2.0,3,120942.90000000001
160,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0,29976.0,10571.484934427976,266.6050987349182,0.0,0.0,0.0,0.0,0.0,0,0.0
161,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0,29976.0,10571.484934427976,266.6050987349182,0.0,0.0,0.0,0.0,0.0,1,8992.8
162,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0,29976.0,10571.484934427976,266.6050987349182,0.0,0.0,0.0,0.0,0.0,2,29976.0
163,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0,29976.0,10571.484934427976,266.6050987349182,0.0,0.0,0.0,0.0,0.0,3,38968.8
176,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0,180017.0,87122.06255372294,372.4932927921698,0.0,0.0,0.0,0.0,0.0,0,0.0
177,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0,180017.0,87122.06255372294,372.4932927921698,0.0,0.0,0.0,0.0,0.0,1,54005.1
178,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0,180017.0,87122.06255372294,372.4932927921698,0.0,0.0,0.0,0.0,0.0,2,180017.0
179,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0,180017.0,87122.06255372294,372.4932927921698,0.0,0.0,0.0,0.0,0.0,3,234022.1
192,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0,74563.0,16202.48861354778,149.02479446791946,1.0,5.0,0.4987589354981214,2.493794677490607,5.0,0,0.0
193,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0,74563.0,16202.48861354778,149.02479446791946,1.0,5.0,0.4987589354981214,2.493794677490607,5.0,1,22368.899999999998
194,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0,74563.0,16202.48861354778,149.02479446791946,1.0,5.0,0.4987589354981214,2.493794677490607,5.0,2,74563.0
195,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0,74563.0,16202.48861354778,149.02479446791946,1.0,5.0,0.4987589354981214,2.493794677490607,5.0,3,96931.90000000001
208,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,0,54809.0,48128.16634756083,794.3267777231265,0.0,0.0,0.0,0.0,0.0,0,0.0
209,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,0,54809.0,48128.16634756083,794.3267777231265,0.0,0.0,0.0,0.0,0.0,1,16442.7
210,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,0,54809.0,48128.16634756083,794.3267777231265,0.0,0.0,0.0,0.0,0.0,2,54809.0
211,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,0,54809.0,48128.16634756083,794.3267777231265,0.0,0.0,0.0,0.0,0.0,3,71251.7
224,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,0,73238.0,47983.94929016108,544.5011001865275,0.0,0.0,0.0,0.0,0.0,0,0.0
225,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,0,73238.0,47983.94929016108,544.5011001865275,0.0,0.0,0.0,0.0,0.0,1,21971.399999999998
226,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,0,73238.0,47983.94929016108,544.5011001865275,0.0,0.0,0.0,0.0,0.0,2,73238.0
227,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,0,73238.0,47983.94929016108,544.5011001865275,0.0,0.0,0.0,0.0,0.0,3,95209.40000000001
240,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,0,209403.0,142034.22656932008,568.6533199304035,0.0,0.0,0.0,0.0,0.0,0,0.0
241,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,0,209403.0,142034.22656932008,568.6533199304035,0.0,0.0,0.0,0.0,0.0,1,62820.899999999994
242,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,0,209403.0,142034.22656932008,568.6533199304035,0.0,0.0,0.0,0.0,0.0,2,209403.0
243,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,0,209403.0,142034.22656932008,568.6533199304035,0.0,0.0,0.0,0.0,0.0,3,272223.9
256,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,0,177881.0,28053.511114539204,99.37169632733485,0.0,2.0,0.4609726835187264,0.9219453670374528,0.0,0,0.0
257,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,0,177881.0,28053.511114539204,99.37169632733485,0.0,2.0,0.4609726835187264,0.9219453670374528,0.0,1,53364.299999999996
258,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,0,177881.0,28053.511114539204,99.37169632733485,0.0,2.0,0.4609726835187264,0.9219453670374528,0.0,2,177881.0
259,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,0,177881.0,28053.511114539204,99.37169632733485,0.0,2.0,0.4609726835187264,0.9219453670374528,0.0,3,231245.30000000002
272,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,0,107645.0,94523.82759187698,794.3267777231265,1.0,0.0,0.8361518819104756,0.0,0.0,0,0.0
273,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,0,107645.0,94523.82759187698,794.3267777231265,1.0,0.0,0.8361518819104756,0.0,0.0,1,32293.5
274,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,0,107645.0,94523.82759187698,794.3267777231265,1.0,0.0,0.8361518819104756,0.0,0.0,2,107645.0
