,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,b,Q_t_hat
0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,1,0.02123780643884053
1,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,1,184363.0,20772.28221591264,63.84489192997366,0.0,4.0,0.4411194523617963,1.7644778094471851,0.0,0,0.013644986520618437
2,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,2,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,0,0.02123780643884053
3,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,3,184363.0,20772.28221591264,31.92244596498683,0.0,4.0,0.4411194523617963,1.7644778094471851,0.0,0,0.006822493260309218
4,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,7534.822180537541,139.35490260636976,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,1,0.02978305249120961
5,0004321a-e6dc-48af-80bd-f06f376110a7,W2,1,36330.0,4253.837737355606,66.84423930765765,1.0,2.0,0.4499663231928995,0.899932646385799,2.0,0,0.014286009683192488
6,0004321a-e6dc-48af-80bd-f06f376110a7,W2,2,36330.0,7511.602765485312,138.7306238715257,1.0,2.0,0.4900843588366463,0.9801687176732926,2.0,0,0.029649631090302563
7,0004321a-e6dc-48af-80bd-f06f376110a7,W2,3,36330.0,4253.830088987221,33.422018947706896,1.0,2.0,0.4499662198442031,0.8999324396884062,2.0,0,0.0071429833185951905
8,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,35882.73224006548,387.9626959314693,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,1,0.08291572898727705
9,0015aa86-c214-407c-b879-d0a5f90627c6,W1,1,77153.0,15551.82368465681,143.2677609374729,1.0,4.0,0.4894921704594098,1.9579686818376392,4.0,0,0.030619312019122227
10,0015aa86-c214-407c-b879-d0a5f90627c6,W1,2,77153.0,19721.90578535504,181.8744228692228,1.0,4.0,0.5184399134373789,2.0737596537495158,4.0,0,0.03887036180150092
11,0015aa86-c214-407c-b879-d0a5f90627c6,W1,3,77153.0,10724.18814643215,41.50480340656367,1.0,4.0,0.4583391124991022,1.8333564499964088,4.0,0,0.008870443130276484
12,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,90401.76171195888,289.7348537933533,0.0,0.0,0.0,0.0,0.0,1,0.061922388072954325
13,00383daa-2b5e-4a5b-8495-cf5442692171,RC,1,232071.0,69052.9043102358,203.8599290146842,0.0,0.0,0.0,0.0,0.0,0,0.04356912353380727
14,00383daa-2b5e-4a5b-8495-cf5442692171,RC,2,232071.0,89364.88354274418,285.9947598110761,0.0,0.0,0.0,0.0,0.0,0,0.061123051893796986
15,00383daa-2b5e-4a5b-8495-cf5442692171,RC,3,232071.0,68934.65034920724,101.7177611638644,0.0,0.0,0.0,0.0,0.0,0,0.021739209481484164
16,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78136.13885904015,811.3909870347007,0.0,0.0,0.850266111021262,0.0,0.0,1,0.1734111962031846
17,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,1,87259.0,74245.51301615815,768.547742368565,0.0,0.0,0.826648265745731,0.0,0.0,0,0.16425470022837466
