,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,K',Sc
0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,23810.25018376226,78.34174871998789,0.0,4.0,0.4520948678634196,1.8083794714536785,0.0,0,0.0
1,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,23810.25018376226,78.34174871998789,0.0,4.0,0.4520948678634196,1.8083794714536785,0.0,1,55308.9
2,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,23810.25018376226,78.34174871998789,0.0,4.0,0.4520948678634196,1.8083794714536785,0.0,2,184363.0
3,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,23810.25018376226,78.34174871998789,0.0,4.0,0.4520948678634196,1.8083794714536785,0.0,3,239671.9
16,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,6265.503684679366,111.507053456561,1.0,2.0,0.4749696604061887,0.9499393208123774,2.0,0,0.0
17,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,6265.503684679366,111.507053456561,1.0,2.0,0.4749696604061887,0.9499393208123774,2.0,1,10899.0
18,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,6265.503684679366,111.507053456561,1.0,2.0,0.4749696604061887,0.9499393208123774,2.0,2,36330.0
19,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,6265.503684679366,111.507053456561,1.0,2.0,0.4749696604061887,0.9499393208123774,2.0,3,47229.0
32,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,16552.989567698252,147.99519476526467,1.0,4.0,0.4963648878246038,1.9854595512984152,4.0,0,0.0
33,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,16552.989567698252,147.99519476526467,1.0,4.0,0.4963648878246038,1.9854595512984152,4.0,1,23145.899999999998
34,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,16552.989567698252,147.99519476526467,1.0,4.0,0.4963648878246038,1.9854595512984152,4.0,2,77153.0
35,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,16552.989567698252,147.99519476526467,1.0,4.0,0.4963648878246038,1.9854595512984152,4.0,3,100298.90000000001
48,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,67020.65731135485,201.7975808599271,0.0,0.0,0.0,0.0,0.0,0,0.0
49,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,67020.65731135485,201.7975808599271,0.0,0.0,0.0,0.0,0.0,1,69621.3
50,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,67020.65731135485,201.7975808599271,0.0,0.0,0.0,0.0,0.0,2,232071.0
51,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,67020.65731135485,201.7975808599271,0.0,0.0,0.0,0.0,0.0,3,301692.3
64,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,26927.13988578068,238.4290648184976,0.0,0.0,0.5438108411279323,0.0,0.0,0,0.0
