guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair
199ee2fc-b2e3-4b70-aff4-079884f6c874,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1997,W1,0.0,55.16550262541375
647b8845-9323-4f76-88d5-e83ca0a98dd2,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1993,W1,0.0,61.7047357370527
6764738c-813b-4fc9-a712-bc6f0a50c92a,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1992,W1,0.0,58.87389277569678
4e5750f1-f06e-4d35-9d13-722badb90b8c,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1992,W1,0.0,58.87389277569678
efcdb2ba-67c8-4898-bb9e-52a1fe56b425,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1972,W1,0.0,84.28200387515822
e3aa0f65-ec6e-43ba-bec1-3f6b415d7686,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1972,W1,0.0,84.28200387515822
4ce3c080-1089-4d1a-b695-41ea767f9f5d,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1972,W1,0.0,84.28200387515822
74a18755-ed4d-4006-a325-1dcf482e7afe,0.6318899565,0.2225588206,0.0333751018,0.3681100435,0.4093311359,0.1891837188,0.0333751018,Earthquake+Tsunami,15832.0,1995,RC,3156.513125647344,66.22127222058208
d942afd0-04bf-408c-8276-ce224e7fc30f,0.5710306949,0.1441440744,0.0307106811,0.4289693051,0.4268866205,0.1134333932999999,0.0307106811,Earthquake+Tsunami,202245.0,1969,W2,32023.52426735795,50.297850112873355
860d3b55-f854-4103-b928-df889b665613,0.5567474345,0.1664511122,0.0285843948,0.4432525655,0.3902963223,0.1378667174,0.0285843948,Earthquake+Tsunami,153346.0,1987,W1,25189.3565646872,53.1742309043138
ce1af8dc-03bf-401e-a878-ca6a83821abf,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,46930.0,1940,W1,11246.598347587982,84.28200387515822
b5407272-eb12-4b38-bb5a-8cdc9bc2bf6b,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,17193.0,1926,W1,3688.716571454591,73.99759738263234
65b68b70-c386-4dfd-bd72-56f04c7e3dbb,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,17193.0,1926,W1,3688.716571454591,73.99759738263234
fa7ef02a-2375-4c98-bce2-8d8e28ac9668,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,51579.0,1926,W1,11066.149714363772,73.99759738263234
06af48da-bacd-448d-83cc-17981a52defe,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,41371.0,1920,W1,9914.404863372309,84.28200387515822
42276433-8452-4d71-9e1d-8cb6ee84d0b7,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,0.0,0,RC,0.0,103.89135833778326
046e76c1-258c-409c-a366-7a23cb88d93b,0.5710306949,0.1441440744,0.0307106811,0.4289693051,0.4268866205,0.1134333932999999,0.0307106811,Earthquake+Tsunami,3996.0,1961,W2,632.7276470239678,50.297850112873355
05459961-b9d3-46c6-a084-6655f1795193,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,0.0,0,W1,0.0,73.99759738263234
8fbb1f23-ddb0-42d0-b11b-838d9f2691cd,0.478726068,0.1071040823,0.0120568094,0.5212739319999999,0.3716219857,0.0950472729,0.0120568094,Earthquake+Tsunami,479100.0,2003,W2,59089.75346388135,37.085612951330134
26c7457d-e252-40a7-a5db-5091cb9a6fe8,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,31972.0,1940,W1,6859.515280785563,73.99759738263234
d0bbb5b2-8465-47f0-9ea4-51d7493e4c99,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,29214.0,1937,W1,6267.793050571419,73.99759738263234
fa38d03a-f90a-41a4-9442-cc5cd3cb054e,0.647896415,0.2509373203,0.062626202,0.352103585,0.3969590946999999,0.1883111182999999,0.062626202,Earthquake+Tsunami,1074380.0,1984,RC,239827.26625146696,77.55067757270632
c918756f-c28e-47ea-9986-7078ca7a6b92,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1998,W1,0.0,55.16550262541375
0e5ce105-a003-4795-af35-94e43f12a028,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1999,W1,0.0,55.16550262541375
70ff551c-b655-4881-b6c6-ae2ba91bdfb3,0.6177589883,0.1641907699,0.0448178986,0.3822410117,0.4535682183999999,0.1193728713,0.0448178986,Earthquake+Tsunami,0.0,2000,W1,0.0,58.157900593883504
353f91fd-15aa-4ef4-942a-fadefca3c29a,0.6634734014,0.260991637,0.0680610675,0.3365265986,0.4024817644,0.1929305694999999,0.0680610675,Earthquake+Tsunami,12748.0,1935,W1,2950.321657576599,80.89328266487233
91a9981e-5d91-445b-9091-aa0441578a3b,0.4758355343,0.0700052324,0.01261658,0.5241644657,0.4058303018999999,0.0573886524,0.01261658,Earthquake+Tsunami,19903.0,2008,W1,2158.3450084655287,30.796568606448734
42b54f41-bd9b-4240-bb0b-fd9f7c9c6950,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1966,W1,0.0,84.28200387515822
7754c721-5356-497b-8102-de616c81c24e,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1994,W1,0.0,58.87389277569678
71dc372e-ec36-4f10-a4f5-3ef0a9455a2d,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1970,W1,0.0,84.28200387515822
2b998732-3ef3-4e26-8074-b1cfbdfbcbb2,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,208034.0,1937,W1,44633.1916027444,73.99759738263234
c448696a-0015-4b44-bb50-916a32c0a6be,0.6177589883,0.1641907699,0.0448178986,0.3822410117,0.4535682183999999,0.1193728713,0.0448178986,Earthquake+Tsunami,0.0,1995,W1,0.0,58.157900593883504
def57539-c284-42b3-952a-e02b232e7629,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,155074.0,1932,W1,33270.75167811023,73.99759738263234
156275f9-642a-4002-9be9-11ab1616eff5,0.478726068,0.1071040823,0.0120568094,0.5212739319999999,0.3716219857,0.0950472729,0.0120568094,Earthquake+Tsunami,0.0,2004,W2,0.0,37.085612951330134
70774921-c6f5-4a81-bbf6-86940db0227d,0.478726068,0.1071040823,0.0120568094,0.5212739319999999,0.3716219857,0.0950472729,0.0120568094,Earthquake+Tsunami,0.0,2004,W2,0.0,37.085612951330134
e38d8575-7880-4a8c-b6d7-225ab1cf9264,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,0.0,0,RC,0.0,103.89135833778326
fb7c9b63-2f35-4003-ad92-a0f6b1d71c8a,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1968,W1,0.0,70.49297142081087
15d6abdf-f233-4a40-845b-89c519c96a39,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1976,W1,0.0,84.28200387515822
8968aeca-f276-46a7-a944-caf955e7f151,0.6177589883,0.1641907699,0.0448178986,0.3822410117,0.4535682183999999,0.1193728713,0.0448178986,Earthquake+Tsunami,19244.0,2003,W1,3429.386004359682,58.157900593883504
a346e859-60ba-4428-bd74-61018e1a97fd,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1972,W1,0.0,84.28200387515822
7551b99d-f4bc-4f09-99a0-2093effe0861,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,17193.0,1926,W1,3688.716571454591,73.99759738263234
130579b9-00fb-40fc-ae92-070cf181f53b,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1993,W1,0.0,58.87389277569678
f005101a-69f7-4916-8b1f-21d405a01111,0.6497362033,0.2492200833,0.0633321476,0.3502637966999999,0.40051612,0.1858879357,0.0633321476,Earthquake+Tsunami,17883.0,1938,W1,3989.136043091155,77.46480572448449
2667274c-9179-48e4-be03-cb31359bf742,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,120713.0,1939,W1,25898.68222474251,73.99759738263234
2b6b5c5e-cf8c-4d0f-97f0-a5b4925c1890,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,12447.0,2003,W1,2121.67344110004,55.16550262541375
76038fbb-18a9-4de3-a252-ba1809e3f7b9,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,3712.0,1993,W1,664.8119334871681,58.87389277569678
daa0e9c3-c565-4c8c-ba3c-85ebf61e6ece,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,31739.0,1940,W1,6809.525694259132,73.99759738263234
7900e84b-0d20-4faf-bf22-06bddb8c1395,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,118230.0,1946,RC,33814.271637523336,103.89135833778326
e147aaa2-ceb0-4c09-b041-5b55a352c043,0.5710306949,0.1441440744,0.0307106811,0.4289693051,0.4268866205,0.1134333932999999,0.0307106811,Earthquake+Tsunami,135199.0,1978,W2,21407.443731229585,50.297850112873355
b93b4dec-f58f-4c4b-ac6f-69f2a5c2cb35,0.5395498009,0.1562452902,0.0258870281,0.4604501990999999,0.3833045107,0.1303582621,0.0258870281,Earthquake+Tsunami,0.0,1980,W1,0.0,50.309598860624945
f7802ba4-a6cd-420e-9662-1173423fe2e0,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1971,W1,0.0,70.49297142081087
f249b0a3-947c-44ca-8383-ff9e4e98300c,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,14516.0,2007,W1,2474.34816992112,55.16550262541375
ebbb206d-f493-4ce6-bdac-6be6cb015bd1,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,2402.0,1993,W1,430.193497908453,58.87389277569678
8072fe94-0d3c-43b8-84ec-066bbac1b4b5,0.5337908801,0.0905813229,0.0171558842,0.4662091199,0.4432095572,0.0734254387,0.0171558842,Earthquake+Tsunami,0.0,2011,W1,0.0,37.17354268088242
ac50f6bc-188a-4d54-8347-a72cd06c37f7,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1960,W1,0.0,70.49297142081087
