guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,0.0,1968,W1,0.0,201.2166548787155
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.668683548,0.2462798058,0.0535429986,0.331316452,0.4224037422,0.1927368072,0.0535429986,Earthquake+Tsunami,0.0,1992,W1,0.0,151.21423310515016
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,0.0,1974,W1,0.0,201.2166548787155
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.668683548,0.2462798058,0.0535429986,0.331316452,0.4224037422,0.1927368072,0.0535429986,Earthquake+Tsunami,0.0,1984,W1,0.0,151.21423310515016
929f1040-6224-409d-b4e3-58946daf3b91,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,0.0,1964,W1,0.0,201.2166548787155
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.6904609554,0.2157928025,0.062520047,0.3095390446,0.4746681529,0.1532727555,0.062520047,Earthquake+Tsunami,11578.0,2007,W1,2497.250909302554,145.98066479213583
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.7005422731,0.2952071464,0.0826644602,0.2994577269,0.4053351266999999,0.2125426862,0.0826644602,Earthquake+Tsunami,67088.0,1941,W1,17149.083189608944,181.8744228692228
050589e0-041f-4ac6-83f8-420ac509cdde,0.7166552592,0.3211043632,0.0882253168,0.2833447408,0.3955508959999999,0.2328790464,0.0882253168,Earthquake+Tsunami,8211.0,1990,RC,2218.722007542264,194.03287470913887
09c131b1-089b-4f1a-a14b-b705be8f5520,0.7005422731,0.2952071464,0.0826644602,0.2994577269,0.4053351266999999,0.2125426862,0.0826644602,Earthquake+Tsunami,0.0,1970,W1,0.0,181.8744228692228
44656106-10fc-423d-bc34-f37a947493e3,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,0.0,1975,W1,0.0,201.2166548787155
