guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated
9d304a7c-e3f2-491d-ab32-0a8ec91a8e30,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1968,W1,0.0,516.0862969155197,0
4ac0a784-57a8-4437-a8ec-c0fefb85012e,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1972,W1,0.0,520.4933273591503,1
25bc3a48-29df-4335-ac04-3e186976490c,0.9105511723,0.649461007,0.2781099206,0.0894488276999999,0.2610901653,0.3713510864,0.2781099206,Earthquake+Tsunami,716337.0,1945,RC,354915.0734359614,396.1891166347002,0
3982d6c7-d2a6-48cf-ac99-de1dd8b42864,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1995,W1,0.0,476.4266550712868,0
da7413ba-bc45-46a7-9516-9bc314d5604b,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1977,W1,0.0,520.4933273591503,1
a436c038-22b1-4339-920b-cf430b4cf2e4,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1995,W1,0.0,476.4266550712868,1
22aa85a2-af0c-436c-9f60-e4ff7254ec6f,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1993,W1,0.0,463.5325739152804,0
919c4386-34ce-431d-ad36-ebad80c126d2,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1993,W1,0.0,463.5325739152804,1
c9bb8034-b154-4950-8361-252628a6dcc9,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1995,W1,0.0,476.4266550712868,0
1d96de99-2ee5-4756-bdba-322a6f705154,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
7c6bc4b6-d2ae-4eee-966c-da7692f14c22,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
6a6c5517-5860-44f7-8b7b-c62c1fe7c2a3,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
a0821314-04d0-4c93-aee7-de7b199cfafa,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,1339.0,1975,W1,830.7109462459144,520.4933273591503,0
f1d4feff-8c78-4f78-b2a3-1092748090d1,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,248070.0,1986,W1,140123.7335498308,463.5325739152804,1
ff321c63-684b-4752-b9d2-6febe12aeee8,0.9105511723,0.649461007,0.2781099206,0.0894488276999999,0.2610901653,0.3713510864,0.2781099206,Earthquake+Tsunami,358766.0,0,RC,177753.57301985813,396.1891166347002,1
c75351fa-df5b-49f9-b7a6-b12ab3d65ed8,0.9168676484,0.6648730109,0.2913113023,0.0831323515999999,0.2519946375,0.3735617085999999,0.2913113023,Earthquake+Tsunami,0.0,0,RC,0.0,407.2394997934277,0
9e34826a-b8a3-494b-9e53-4ac2366e0c71,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,8213.0,1994,W1,4639.159203631073,463.5325739152804,0
afcdcdeb-5c8a-4e77-b049-c5a6c670b6c1,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,46091.0,1950,W1,28594.696208678448,520.4933273591503,0
