guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.6332513228810617,0.1672563120652662,0.0702715025295631,0.3667486771189383,0.4659950108157954,0.0969848095357031,0.0702715025295631,Earthquake+Tsunami,0.0,1968,W1,0.0,128.7858211272884,
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1992,W1,0.0,96.15352911940204,
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.6332513228810617,0.1672563120652662,0.0702715025295631,0.3667486771189383,0.4659950108157954,0.0969848095357031,0.0702715025295631,Earthquake+Tsunami,0.0,1974,W1,0.0,128.7858211272884,
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.6332513228810617,0.1672563120652662,0.0702715025295631,0.3667486771189383,0.4659950108157954,0.0969848095357031,0.0702715025295631,Earthquake+Tsunami,0.0,1984,W1,0.0,128.7858211272884,
929f1040-6224-409d-b4e3-58946daf3b91,0.6174802815702273,0.1314464075635626,0.0302910269170741,0.3825197184297727,0.4860338740066646,0.1011553806464884,0.0302910269170741,Earthquake+Tsunami,0.0,1964,W1,0.0,99.23974628822984,
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,11578.0,2007,W1,1817.2711129949391,96.15352911940204,
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.9994413357800384,0.998840854104239,0.9987313508463338,0.0005586642199615,0.0006004816757995,0.0001095032579051,0.9987313508463338,Earthquake+Tsunami,67088.0,1941,W1,60313.07206513162,814.917650032121,
050589e0-041f-4ac6-83f8-420ac509cdde,0.645159215160676,0.190702370537691,0.0201345038581408,0.354840784839324,0.4544568446229849,0.1705678666795502,0.0201345038581408,Earthquake+Tsunami,8211.0,1990,RC,1512.0424712369322,117.1064799770122,
09c131b1-089b-4f1a-a14b-b705be8f5520,0.864345906719846,0.7185377551479437,0.6919483215819744,0.135654093280154,0.1458081515719023,0.0265894335659693,0.6919483215819744,Earthquake+Tsunami,0.0,1970,W1,0.0,585.3746367276395,
44656106-10fc-423d-bc34-f37a947493e3,0.6332513228810617,0.1672563120652662,0.0702715025295631,0.3667486771189383,0.4659950108157954,0.0969848095357031,0.0702715025295631,Earthquake+Tsunami,0.0,1975,W1,0.0,128.7858211272884,
