guid,robustness_bldg,robustness_elec,robustness_trns,robustness_wter,robustness,rapidity_bldg,rapidity_elec,rapidity_trns,rapidity_wter,rapidity,resilience_bldg,resilience_elec,resilience_trns,resilience_wter,resilience
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.8779999999999993,1.0,1.0,1.0,0.8779999999999993,0.98667264028996,0.3120542220032198,0.8682153877064698,0.2525269735170666,0.06750538229695299,0.8662985781745844,0.31205422200321997,0.8682153877064696,0.25252697351706666,0.05926972565672476
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.9609999999999992,1.0,1.0,1.0,0.9609999999999991,0.9922617264939605,0.24315956993479698,0.8691008725890647,0.47784540005965276,0.10020172597033493,0.9535635191606951,0.24315956993479715,0.8691008725890644,0.47784540005965265,0.0962938586574917
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.8619999999999994,1.0,1.0,1.0,0.8619999999999994,0.9806735327257761,0.3120542220026587,0.8682153877065723,0.2525269735168248,0.06709494013691056,0.8453405852096184,0.3120542220026588,0.8682153877065721,0.25252697351682485,0.05783583839801686
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.9099999999999993,1.0,1.0,1.0,0.9099999999999995,0.9848058038111485,0.31205422200398536,0.8682153877055294,0.25252697351640874,0.06737765856658466,0.8961732814681446,0.3120542220039854,0.8682153877055293,0.2525269735164088,0.061313669295592045
929f1040-6224-409d-b4e3-58946daf3b91,0.8849999999999995,1.0,1.0,1.0,0.8849999999999993,0.9858242240146389,0.28797569986452676,0.869100872590359,0.4778454000599362,0.11789976070266293,0.8724544382529549,0.2879756998645268,0.8691008725903587,0.47784540005993614,0.10434128822185663
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.9269999999999993,1.0,1.0,1.0,0.9269999999999993,0.9914051337613209,0.2431595699346855,0.8691008725899814,0.4778454000596303,0.10011522452830818,0.9190325589967437,0.2431595699346856,0.8691008725899813,0.47784540005963033,0.09280681313774163
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.003033333333334657,1.0,1.0,1.0,0.003033333333334654,0.8569169554287067,0.18221345858528074,0.8690216605115995,0.36629043989589344,0.04970217256593026,0.0025993147648017954,0.18221345858528087,0.8690216605115995,0.36629043989589344,0.00015076325678361086
050589e0-041f-4ac6-83f8-420ac509cdde,0.8959999999999994,1.0,1.0,1.0,0.8959999999999994,0.9844942918935324,0.4900511326981116,0.8691008725900846,0.4778454000606938,0.20036054088389754,0.8821068855366045,0.4900511326981116,0.8691008725900845,0.47784540006069387,0.17952304463197205
09c131b1-089b-4f1a-a14b-b705be8f5520,0.2780000000000009,1.0,1.0,1.0,0.2780000000000009,0.8960329570746453,0.3908540448215851,0.8684709345057307,0.25252697351703685,0.07680715107872335,0.24909716206675236,0.39085404482158514,0.8684709345057307,0.252526973517037,0.021352387999885345
44656106-10fc-423d-bc34-f37a947493e3,0.8689999999999993,1.0,1.0,1.0,0.8689999999999994,0.9835094274238761,0.3120542220036243,0.8682153877082381,0.25252697351609654,0.06728896412021854,0.8546696924313478,0.3120542220036244,0.8682153877082379,0.2525269735160966,0.058474109820469834
