guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1968,W1,0.0,48.07676455970102,,,
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1992,W1,0.0,48.07676455970102,,,
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1974,W1,0.0,48.07676455970102,0.0,2.0,0.4179916206691942
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1984,W1,0.0,48.07676455970102,1.0,2.0,0.450325744324243
929f1040-6224-409d-b4e3-58946daf3b91,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1964,W1,0.0,48.07676455970102,0.0,4.0,0.4358278053627795
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,11578.0,2007,W1,1817.2711129949391,48.07676455970102,0.0,1.0,0.4866904737326025
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.5686835893,0.1050820343,0.0205401029,0.4313164107,0.4636015549999999,0.0845419314,0.0205401029,Earthquake+Tsunami,67088.0,1941,W1,9325.163433279848,41.50480340656367,,,
050589e0-041f-4ac6-83f8-420ac509cdde,0.6387169124,0.1760091882,0.0139378513,0.3612830876,0.4627077241999999,0.1620713369,0.0139378513,Earthquake+Tsunami,8211.0,1990,RC,1438.644499618494,54.57471801526604,,,
09c131b1-089b-4f1a-a14b-b705be8f5520,0.5686835893,0.1050820343,0.0205401029,0.4313164107,0.4636015549999999,0.0845419314,0.0205401029,Earthquake+Tsunami,0.0,1970,W1,0.0,41.50480340656367,1.0,3.0,0.3409868684644644
44656106-10fc-423d-bc34-f37a947493e3,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1975,W1,0.0,48.07676455970102,0.0,1.0,0.4209192811138861
0b4073d3-7d7e-439d-b9ef-1373291f37cc,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,11820.0,1992,W1,1855.25518704441,48.07676455970102,0.0,4.0,0.4471671288602848
bef20397-d546-475e-8dfd-b58a422019d8,0.5515985013,0.0977639241,0.0188134439,0.4484014987,0.4538345772,0.0789504801999999,0.0188134439,Earthquake+Tsunami,0.0,2006,W1,0.0,39.33278839734807,0.0,2.0,0.4303295289048969
f5e2c264-da77-4971-99d8-0c3d7562b986,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1988,W1,0.0,48.07676455970102,0.0,4.0,0.4620030354875895
d8ffb229-86e0-4907-97a5-84eb9ac248e6,0.5686835893,0.1050820343,0.0205401029,0.4313164107,0.4636015549999999,0.0845419314,0.0205401029,Earthquake+Tsunami,109813.0,1959,W1,15263.89476655676,41.50480340656367,,,
0bf34a44-f8fe-41b4-a241-7c71ed06aa20,0.6387169124,0.1760091882,0.0139378513,0.3612830876,0.4627077241999999,0.1620713369,0.0139378513,Earthquake+Tsunami,25411.0,1,RC,4452.246423067294,54.57471801526604,0.0,3.0,0.4900533740749552
340d43a0-35ff-4738-b11b-849434a662a4,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1998,W1,0.0,48.07676455970102,,,
defedc4a-ea47-45c6-87d5-4c374f6920e5,0.6158329271,0.1277059059,0.0261148908,0.3841670728999999,0.4881270212,0.1015910151,0.0261148908,Earthquake+Tsunami,0.0,1974,W1,0.0,48.07676455970102,0.0,1.0,0.447421152839559
837b8691-a385-4519-a7bc-6eed26afc2a7,0.5686835893,0.1050820343,0.0205401029,0.4313164107,0.4636015549999999,0.0845419314,0.0205401029,Earthquake+Tsunami,0.0,1970,W1,0.0,41.50480340656367,0.0,3.0,0.289427504973552
3ae2a39b-f04a-4654-8d64-672205c5007d,0.5686835893,0.1050820343,0.0205401029,0.4313164107,0.4636015549999999,0.0845419314,0.0205401029,Earthquake+Tsunami,0.0,1968,W1,0.0,41.50480340656367,0.0,3.0,0.2979210588531105
