,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,b,Q_t_hat
9604,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,0,19998.0,17998.186963853957,815.8661981217283,1.0,3.0,0.8617979860055659,2.585393958016698,1,0.17436764225726187
9605,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,1,19998.0,17998.18142394189,815.8659108888033,1.0,3.0,0.861797845011333,2.585393535033999,0,0.17436758086958823
9606,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,2,19998.0,12318.70449064157,516.0862969155197,1.0,3.0,0.7268141573319713,2.1804424719959137,0,0.11029841780626623
9607,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,3,19998.0,17998.186963853957,407.93309906086415,1.0,3.0,0.8617979860055659,2.585393958016698,0,0.08718382112863093
9608,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,0,193986.0,124498.15811616932,547.0205142832154,1.0,2.0,0.7576709259784866,1.5153418519569732,1,0.11690970598059744
9609,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,1,193986.0,116633.00513989844,506.56121471335416,0.0,2.0,0.7408307528216203,1.4816615056432405,0,0.10826270885089852
9610,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,2,193986.0,72959.824162968,281.7819831944538,0.0,2.0,0.6451797839201083,1.2903595678402167,0,0.06022269356581616
9611,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,3,193986.0,124498.15811616932,273.5102571416077,1.0,2.0,0.7576709259784866,1.5153418519569732,0,0.05845485299029872
9612,8014f932-df2a-4f74-a769-bc364b742047,W1,0,72669.0,64933.05464676179,809.0127368969149,0.0,6.0,0.8254185813278264,4.952511487966959,1,0.17290291448961637
9613,8014f932-df2a-4f74-a769-bc364b742047,W1,1,72669.0,64816.03777209805,807.3896092114456,0.0,6.0,0.8247276354987514,4.948365812992508,0,0.17255601821146518
9614,8014f932-df2a-4f74-a769-bc364b742047,W1,2,72669.0,42173.416776442304,476.4266550712868,0.0,6.0,0.6766532917240238,4.059919750344143,0,0.10182232422981125
9615,8014f932-df2a-4f74-a769-bc364b742047,W1,3,72669.0,64933.05464676179,404.5063684484575,0.0,6.0,0.8254185813278264,4.952511487966959,0,0.0864514572448082
9616,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,0,143675.0,109417.11946826694,658.3398990306636,1.0,0.0,0.6703303431483634,0.0,1,0.140700982908883
9617,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,1,143675.0,95290.97938476404,549.0970776266487,1.0,0.0,0.6111961669866964,0.0,0,0.11735351092683237
9618,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,2,143675.0,94053.23626323637,549.3009335974771,1.0,0.0,0.6086991440583038,0.0,0,0.11739707920441912
9619,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,3,143675.0,109417.11946826694,329.1699495153318,1.0,0.0,0.6703303431483634,0.0,0,0.0703504914544415
9620,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,0,178872.0,160975.52467546094,815.8148755800813,1.0,0.0,0.7813666472873492,0.0,1,0.17435667355847004
