,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,b,Q_t_hat
9576,7fbf2810-5af7-42e4-bfcb-bc03fb410687,W2,0,68538.0,13585.594031920347,139.056393026264,1.0,1.0,0.497252120762862,0.497252120762862,1.0,1,0.029719254760902758
9577,7fbf2810-5af7-42e4-bfcb-bc03fb410687,W2,1,68538.0,8887.289821476215,87.6380865857379,1.0,1.0,0.4602978099544695,0.4602978099544695,1.0,0,0.018730089033070718
9578,7fbf2810-5af7-42e4-bfcb-bc03fb410687,W2,2,68538.0,10852.3241921243,100.59570022574673,1.0,1.0,0.4766412808814163,0.4766412808814163,1.0,0,0.021499401629781305
9579,7fbf2810-5af7-42e4-bfcb-bc03fb410687,W2,3,68538.0,13585.594031920347,69.528196513132,1.0,1.0,0.497252120762862,0.497252120762862,1.0,0,0.014859627380451379
9580,7fc19d29-6e44-423a-a072-4e1abc23c58f,W1,0,1538.0,372.9310448934088,171.33972010475853,0.0,0.0,0.0,0.0,0.0,1,0.036618875850557495
9581,7fc19d29-6e44-423a-a072-4e1abc23c58f,W1,1,1538.0,200.1986329472699,77.52681117601806,0.0,0.0,0.0,0.0,0.0,0,0.01656909834922378
9582,7fc19d29-6e44-423a-a072-4e1abc23c58f,W1,2,1538.0,368.5759270954681,168.56400775031645,0.0,0.0,0.0,0.0,0.0,0,0.03602564816206806
9583,7fc19d29-6e44-423a-a072-4e1abc23c58f,W1,3,1538.0,372.9310448934088,85.66986005237926,0.0,0.0,0.0,0.0,0.0,0,0.018309437925278747
9584,7fc1e58e-0816-41af-a670-e07a931cce00,RC,0,216548.0,62537.71173244081,201.7975808599271,0.0,0.0,0.0,0.0,0.0,1,0.0431283566702131
9585,7fc1e58e-0816-41af-a670-e07a931cce00,RC,1,216548.0,46519.1927377878,135.48809467737027,0.0,0.0,0.0,0.0,0.0,0,0.028956634895783345
9586,7fc1e58e-0816-41af-a670-e07a931cce00,RC,2,216548.0,62537.70912560914,201.79757104442515,0.0,0.0,0.0,0.0,0.0,0,0.043128354572435385
9587,7fc1e58e-0816-41af-a670-e07a931cce00,RC,3,216548.0,62537.71173244081,100.89879042996355,0.0,0.0,0.0,0.0,0.0,0,0.02156417833510655
9588,7fcbada4-4204-4792-854f-92cca5e24f53,W1,0,58058.0,32371.80028578343,482.2263859046336,1.0,2.0,0.6798210301207903,1.3596420602415806,2.0,1,0.10306184781035127
9589,7fcbada4-4204-4792-854f-92cca5e24f53,W1,1,58058.0,29294.42034883932,439.0635657426583,1.0,2.0,0.6477674453697255,1.295534890739451,2.0,0,0.09383705187917467
9590,7fcbada4-4204-4792-854f-92cca5e24f53,W1,2,58058.0,12456.203495929194,147.99519476526467,1.0,2.0,0.4997335542685293,0.9994671085370586,2.0,0,0.03162966333944532
9591,7fcbada4-4204-4792-854f-92cca5e24f53,W1,3,58058.0,32371.80028578343,241.1131929523168,1.0,2.0,0.6798210301207903,1.3596420602415806,2.0,0,0.051530923905175635
9592,7fd5da6a-6871-4d3f-97c7-e406e93fe26e,W1,0,68283.0,12935.094361479163,126.3788118941288,0.0,0.0,0.5176867996339767,0.0,0.0,1,0.027009790958351956
9593,7fd5da6a-6871-4d3f-97c7-e406e93fe26e,W1,1,68283.0,8888.272596578954,77.52681117601806,0.0,0.0,0.4795270165534539,0.0,0.0,0,0.01656909834922378
9594,7fd5da6a-6871-4d3f-97c7-e406e93fe26e,W1,2,68283.0,12726.140455598486,123.4094714741054,0.0,0.0,0.5161578223864904,0.0,0.0,0,0.02637518090919115
9595,7fd5da6a-6871-4d3f-97c7-e406e93fe26e,W1,3,68283.0,12935.094361479163,63.1894059470644,0.0,0.0,0.5176867996339767,0.0,0.0,0,0.013504895479175978
9596,7fe1ff3a-c167-4a6a-9fb1-58f8e8db0f39,W1,0,157769.0,41609.09634750351,200.97493182903747,1.0,2.0,0.5078133859509364,1.0156267719018728,2.0,1,0.0429525393949642
9597,7fe1ff3a-c167-4a6a-9fb1-58f8e8db0f39,W1,1,157769.0,33734.59412559459,160.56454701835725,1.0,2.0,0.4834094554163522,0.9668189108327044,2.0,0,0.03431599637066836
9598,7fe1ff3a-c167-4a6a-9fb1-58f8e8db0f39,W1,2,157769.0,27093.376001365537,112.05948471056564,0.0,2.0,0.4601925245886222,0.9203850491772444,0.0,0,0.023949451744083274
9599,7fe1ff3a-c167-4a6a-9fb1-58f8e8db0f39,W1,3,157769.0,41609.09634750351,100.48746591451874,1.0,2.0,0.5078133859509364,1.0156267719018728,2.0,0,0.0214762696974821
9600,7fe45395-5bb2-40f1-ab87-bfd11fd8ec66,W2,0,139137.0,17453.874326111014,75.8552254333074,0.0,5.0,0.3125702234852064,1.562851117426032,0.0,1,0.016211845572410215
9601,7fe45395-5bb2-40f1-ab87-bfd11fd8ec66,W2,1,139137.0,12574.72804632918,49.12703715506134,0.0,5.0,0.2957668808944973,1.4788344044724866,0.0,0,0.0104994736386111
9602,7fe45395-5bb2-40f1-ab87-bfd11fd8ec66,W2,2,139137.0,17453.874326111014,75.8552254333074,0.0,5.0,0.3125702234852064,1.562851117426032,0.0,0,0.016211845572410215
9603,7fe45395-5bb2-40f1-ab87-bfd11fd8ec66,W2,3,139137.0,17453.874326111014,37.9276127166537,0.0,5.0,0.3125702234852064,1.562851117426032,0.0,0,0.008105922786205108
9604,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,0,19998.0,7507.97387309151,303.6971870581141,1.0,3.0,0.5917638877237191,1.7752916631711573,3.0,1,0.0649064302325527
9605,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,1,19998.0,5827.051435853779,234.63373956832885,0.0,3.0,0.5430726678154598,1.6292180034463795,0.0,0,0.05014612942259646
9606,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,2,19998.0,4460.926163939883,154.92961144896898,0.0,3.0,0.5133282358443024,1.5399847075329074,0.0,0,0.03311169297904872
9607,7fe8a597-9893-4477-adf3-73b0e33acbe2,W1,3,19998.0,7507.97387309151,151.84859352905704,1.0,3.0,0.5917638877237191,1.7752916631711573,3.0,0,0.03245321511627635
9608,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,0,193986.0,37064.95963792222,125.9528850884493,0.0,2.0,0.5431151479528838,1.0862302959057677,0.0,1,0.026918761506400792
9609,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,1,193986.0,27554.996479242724,84.94237911726184,0.0,2.0,0.5166649871827674,1.0333299743655349,0.0,0,0.018153960059256645
