,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,b,Q_t_hat
0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,1,0.02123780643884053
1,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,1,184363.0,20772.28221591264,63.84489192997366,0.0,4.0,0.4411194523617963,1.7644778094471851,0.0,0,0.013644986520618437
2,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,2,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,0,0.02123780643884053
3,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,3,184363.0,29075.783639679285,49.685848163667416,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,0,0.010618903219420264
4,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,7534.822180537541,139.35490260636976,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,1,0.02978305249120961
5,0004321a-e6dc-48af-80bd-f06f376110a7,W2,1,36330.0,4280.052973677707,67.53459172057798,1.0,2.0,0.4503205569801927,0.9006411139603854,2.0,0,0.01443355240875785
6,0004321a-e6dc-48af-80bd-f06f376110a7,W2,2,36330.0,7511.602765485312,138.7306238715257,1.0,2.0,0.4900843588366463,0.9801687176732926,2.0,0,0.029649631090302563
7,0004321a-e6dc-48af-80bd-f06f376110a7,W2,3,36330.0,7534.822180537541,69.67745130318488,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,0,0.014891526245604804
8,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,35882.73224006548,387.9626959314693,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,1,0.08291572898727705
9,0015aa86-c214-407c-b879-d0a5f90627c6,W1,1,77153.0,29809.850773392373,321.2352953586969,1.0,4.0,0.5815001815816329,2.3260007263265314,4.0,0,0.06865469018138425
10,0015aa86-c214-407c-b879-d0a5f90627c6,W1,2,77153.0,19721.90578535504,181.8744228692228,1.0,4.0,0.5184399134373789,2.0737596537495158,4.0,0,0.03887036180150092
11,0015aa86-c214-407c-b879-d0a5f90627c6,W1,3,77153.0,35882.73224006548,193.98134796573467,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,0,0.04145786449363853
12,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,90401.76171195888,289.7348537933533,0.0,0.0,0.0,0.0,0.0,1,0.061922388072954325
13,00383daa-2b5e-4a5b-8495-cf5442692171,RC,1,232071.0,70254.83565834608,208.18567998620875,0.0,0.0,0.0,0.0,0.0,0,0.044493626840395116
14,00383daa-2b5e-4a5b-8495-cf5442692171,RC,2,232071.0,89364.88354274418,285.9947598110761,0.0,0.0,0.0,0.0,0.0,0,0.061123051893796986
15,00383daa-2b5e-4a5b-8495-cf5442692171,RC,3,232071.0,90401.76171195888,144.86742689667665,0.0,0.0,0.0,0.0,0.0,0,0.030961194036477162
16,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78136.13885904015,811.3909870347007,0.0,0.0,0.850266111021262,0.0,0.0,1,0.1734111962031846
17,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,1,87259.0,78064.29560849165,810.6930150964624,0.0,0.0,0.8497938481921667,0.0,0.0,0,0.17326202502595905
