Economic_loss,Dislocation,Functionality,S
195058235.9,2425.439102,162.2541265,0
195875115.3,2363.068059,156.7650519,1
196691994.8,2337.563459,155.4455612,2
197508874.2,2319.475725,156.0852385,3
198325753.6,2306.875083,156.2090655,4
199142633.1,2297.653824,157.2842039,5
199959512.5,2290.42155,158.315396,6
200776391.9,2284.155113,158.9089562,7
201593271.4,2278.784504,160.1658137,8
202410150.8,2273.798414,161.3237138,9
203227030.2,2269.247665,162.8029057,10
204043909.7,2264.958091,163.9775044,11
204860789.1,2261.304719,164.8061777,12
205677668.5,2258.309765,165.310986,13
206494548,2255.538313,165.5973519,14
207311427.4,2253.123721,166.2152649,15
208128306.8,2250.915493,166.8298562,16
208945186.3,2248.892616,166.9962217,17
209762065.7,2247.110298,167.1240087,18
210578945.1,2245.457413,167.1201895,19
195058235.9,2425.439102,161.7885878,20
195875115.3,2363.068591,156.724007,21
196691994.8,2337.563459,155.4455612,22
197508874.2,2319.475725,156.0852385,23
198325753.6,2306.875083,156.2090655,24
199142633.1,2297.653824,157.2842039,25
199959512.5,2290.42155,158.315396,26
200776391.9,2284.155113,158.9089562,27
201593271.4,2278.784504,160.1658137,28
202410150.8,2273.798414,161.3237138,29
203227030.2,2269.247665,162.8029057,30
204043909.7,2264.958091,163.9775044,31
204860789.1,2261.304719,164.8061777,32
205677668.5,2258.309765,165.310986,33
206494548,2255.54013,165.4516119,34
207311427.4,2253.123279,166.0839426,35
208128306.8,2250.915937,166.8700726,36
208945186.3,2248.891317,166.9730195,37
209762065.7,2247.112194,167.112057,38
210578945.1,2245.456929,167.1224164,39
195058235.9,2425.439102,162.124587,40
195875115.3,2363.068006,156.8005231,41
196691994.8,2337.562391,155.4093745,42
197508874.2,2319.476025,155.9198839,43
198325753.6,2306.875083,156.2090655,44
199142633.1,2297.653824,157.2842039,45
199959512.5,2290.419448,157.8295793,46
200776391.9,2284.155113,158.9089562,47
201593271.4,2278.784504,160.1658137,48
202410150.8,2273.798414,161.3237138,49
203227030.2,2269.247665,162.8029057,50
204043909.7,2264.958091,163.9775044,51
204860789.1,2261.304719,164.8061777,52
205677668.5,2258.309765,165.310986,53
206494548,2255.537699,165.637947,54
207311427.4,2253.125103,166.1804855,55
208128306.8,2250.916974,166.9138686,56
208945186.3,2248.890888,166.9839884,57
209762065.7,2247.110072,167.1304011,58
210578945.1,2245.45873,167.1301183,59
195058235.9,2425.439102,162.2237197,60
195875115.3,2363.068006,156.7468096,61
196691994.8,2337.562934,155.4105736,62
197508874.2,2319.476154,155.9788759,63
198325753.6,2306.875495,156.1909779,64
199142633.1,2297.653824,157.2842039,65
199959512.5,2290.421017,158.1898768,66
200776391.9,2284.155049,158.9074836,67
201593271.4,2278.787624,160.0345516,68
202410150.8,2273.798414,161.3237138,69
203227030.2,2269.247665,162.8029057,70
204043909.7,2264.958091,163.9775044,71
204860789.1,2261.304719,164.8061777,72
205677668.5,2258.309765,165.310986,73
206494548,2255.538849,165.56066,74
207311427.4,2253.123575,166.1391393,75
208128306.8,2250.915527,166.7711187,76
208945186.3,2248.891317,166.9730195,77
209762065.7,2247.110335,167.1109038,78
210578945.1,2245.456276,167.1093205,79
195058235.9,2425.439102,162.1879854,80
195875115.3,2363.068955,156.7365213,81
196691994.8,2337.562476,155.5757683,82
197508874.2,2319.476618,156.0237627,83
198325753.6,2306.87511,156.2161457,84
199142633.1,2297.653204,157.2558177,85
199959512.5,2290.420574,158.1389529,86
200776391.9,2284.155294,158.9233332,87
201593271.4,2278.787612,160.0621862,88
202410150.8,2273.796835,161.1086806,89
203227030.2,2269.247665,162.8029057,90
204043909.7,2264.959852,164.0899589,91
204860789.1,2261.30671,164.7415477,92
205677668.5,2258.309337,165.0202037,93
206494548,2255.539461,165.4824194,94
207311427.4,2253.124785,166.2987001,95
208128306.8,2250.914779,166.8554749,96
208945186.3,2248.891632,166.9848365,97
209762065.7,2247.111545,167.0971513,98
210578945.1,2245.457773,167.1356181,99
195058235.9,2425.439102,162.124587,100
195875115.3,2363.068594,156.7643237,101
196691994.8,2337.563331,155.5100873,102
197508874.2,2319.475873,156.125657,103
198325753.6,2306.875144,156.2018248,104
199142633.1,2297.653576,157.2828257,105
199959512.5,2290.419808,158.158855,106
200776391.9,2284.155342,158.8452737,107
201593271.4,2278.786812,159.9975356,108
202410150.8,2273.79997,161.4722155,109
203227030.2,2269.24776,162.87891,110
204043909.7,2264.958792,163.8642344,111
204860789.1,2261.304647,164.7937517,112
205677668.5,2258.309408,164.7223451,113
206494548,2255.538855,165.5245154,114
207311427.4,2253.126136,166.2852126,115
208128306.8,2250.916856,166.8206278,116
208945186.3,2248.892107,166.9098534,117
209762065.7,2247.111557,167.1208621,118
210578945.1,2245.457795,167.1262095,119
195058235.9,2425.439102,162.3601274,120
195875115.3,2363.067474,156.7301241,121
196691994.8,2337.562947,155.5184363,122
197508874.2,2319.477137,156.1148377,123
198325753.6,2306.876581,156.1383791,124
199142633.1,2297.654455,157.2192055,125
199959512.5,2290.420378,158.0911093,126
200776391.9,2284.154435,158.7576274,127
201593271.4,2278.783357,160.0240678,128
202410150.8,2273.798987,161.4442712,129
203227030.2,2269.247075,162.9468718,130
204043909.7,2264.958411,164.0487427,131
204860789.1,2261.304099,164.7924664,132
205677668.5,2258.309474,164.9903064,133
206494548,2255.538096,165.5044151,134
207311427.4,2253.123048,166.3569117,135
208128306.8,2250.916021,166.8276492,136
208945186.3,2248.890073,166.9834908,137
209762065.7,2247.111201,167.1265012,138
210578945.1,2245.457795,167.1262095,139
195058235.9,2425.439102,162.1410615,140
195875115.3,2363.068286,156.7878387,141
196691994.8,2337.562763,155.4322987,142
197508874.2,2319.47663,156.0481368,143
198325753.6,2306.87587,156.2100796,144
199142633.1,2297.652942,157.2574238,145
199959512.5,2290.422823,157.9056409,146
200776391.9,2284.156106,158.8306589,147
201593271.4,2278.783357,160.0240678,148
202410150.8,2273.798987,161.4442712,149
203227030.2,2269.248408,162.8943785,150
204043909.7,2264.958306,163.991838,151
204860789.1,2261.304785,164.8243811,152
205677668.5,2258.306502,164.905822,153
206494548,2255.541149,165.5258195,154
207311427.4,2253.124887,166.2165041,155
208128306.8,2250.916856,166.8206278,156
208945186.3,2248.891522,166.9944082,157
209762065.7,2247.11151,167.1036624,158
210578945.1,2245.459055,167.1474081,159
195058235.9,2425.439102,162.3547037,160
195875115.3,2363.068079,156.7048981,161
