Economic_loss,Dislocation,Functionality,S
172991856.4,2379.946359,142.004359,0
174406896.5,2272.331698,130.5131419,1
175821936.6,2245.623702,126.8280763,2
177236976.7,2231.701949,127.3648766,3
178652016.8,2223.303906,129.432933,4
180067057,2216.432645,131.225975,5
181482097.1,2210.554976,131.6086936,6
182897137.2,2205.24486,131.7513989,7
184312177.3,2200.513533,132.9956928,8
185727217.4,2196.22635,134.4514298,9
187142257.5,2192.901231,136.5469512,10
188557297.7,2190.167579,138.3447711,11
189972337.8,2187.815936,140.7284331,12
191387377.9,2185.674562,143.0878722,13
192802418,2183.695965,145.6955109,14
194217458.1,2181.868048,147.950275,15
195632498.2,2180.389494,148.8207329,16
197047538.4,2179.11409,150.3140971,17
198462578.5,2177.98308,151.3913757,18
199877618.6,2177.02041,151.9312811,19
172991856.4,2379.946359,142.004359,20
174406896.5,2272.331698,130.5131419,21
175821936.6,2245.623702,126.8280763,22
177236976.7,2231.701949,127.3648766,23
178652016.8,2223.303906,129.432933,24
180067057,2216.432645,131.225975,25
181482097.1,2210.554976,131.6086936,26
182897137.2,2205.24486,131.7513989,27
184312177.3,2200.513533,132.9956928,28
185727217.4,2196.22635,134.4514298,29
187142257.5,2192.901231,136.5469512,30
188557297.7,2190.167579,138.3447711,31
189972337.8,2187.815936,140.7284331,32
191387377.9,2185.674562,143.0878722,33
192802418,2183.695965,145.6955109,34
194217458.1,2181.868048,147.950275,35
195632498.2,2180.389494,148.8207329,36
197047538.4,2179.11409,150.3140971,37
198462578.5,2177.98308,151.3913757,38
199877618.6,2177.02041,151.9312811,39
172991856.4,2379.946359,142.004359,40
174406896.5,2272.331698,130.5131419,41
175821936.6,2245.623702,126.8280763,42
177236976.7,2231.701949,127.3648766,43
178652016.8,2223.303906,129.432933,44
180067057,2216.432645,131.225975,45
181482097.1,2210.554976,131.6086936,46
182897137.2,2205.24486,131.7513989,47
184312177.3,2200.513533,132.9956928,48
185727217.4,2196.22635,134.4514298,49
187142257.5,2192.901231,136.5469512,50
188557297.7,2190.167579,138.3447711,51
189972337.8,2187.815936,140.7284331,52
191387377.9,2185.674562,143.0878722,53
192802418,2183.695965,145.6955109,54
194217458.1,2181.868048,147.950275,55
195632498.2,2180.389494,148.8207329,56
197047538.4,2179.11409,150.3140971,57
198462578.5,2177.98308,151.3913757,58
199877618.6,2177.02041,151.9312811,59
172991856.4,2379.946359,142.004359,60
174406896.5,2272.331698,130.5131419,61
175821936.6,2245.623702,126.8280763,62
177236976.7,2231.701949,127.3648766,63
178652016.8,2223.303906,129.432933,64
180067057,2216.432645,131.225975,65
181482097.1,2210.554976,131.6086936,66
182897137.2,2205.24486,131.7513989,67
184312177.3,2200.513533,132.9956928,68
185727217.4,2196.22635,134.4514298,69
187142257.5,2192.901231,136.5469512,70
188557297.7,2190.167579,138.3447711,71
189972337.8,2187.815936,140.7284331,72
191387377.9,2185.674562,143.0878722,73
192802418,2183.695965,145.6955109,74
194217458.1,2181.868048,147.950275,75
195632498.2,2180.389494,148.8207329,76
197047538.4,2179.11409,150.3140971,77
198462578.5,2177.98308,151.3913757,78
199877618.6,2177.02041,151.9312811,79
172991856.4,2379.946359,142.004359,80
174406896.5,2272.331698,130.5131419,81
175821936.6,2245.623702,126.8280763,82
177236976.7,2231.701949,127.3648766,83
178652016.8,2223.303906,129.432933,84
180067057,2216.432645,131.225975,85
181482097.1,2210.554976,131.6086936,86
182897137.2,2205.24486,131.7513989,87
184312177.3,2200.513533,132.9956928,88
185727217.4,2196.22635,134.4514298,89
187142257.5,2192.901231,136.5469512,90
188557297.7,2190.167579,138.3447711,91
189972337.8,2187.815936,140.7284331,92
191387377.9,2185.674562,143.0878722,93
192802418,2183.695965,145.6955109,94
194217458.1,2181.868048,147.950275,95
195632498.2,2180.389494,148.8207329,96
197047538.4,2179.11409,150.3140971,97
198462578.5,2177.98308,151.3913757,98
199877618.6,2177.02041,151.9312811,99
172991856.4,2379.94636,141.7192226,100
174406896.5,2272.331698,130.5131419,101
175821936.6,2245.623702,126.8280763,102
177236976.7,2231.701949,127.3648766,103
178652016.8,2223.303906,129.432933,104
180067057,2216.432645,131.225975,105
181482097.1,2210.554976,131.6086936,106
182897137.2,2205.24486,131.7513989,107
184312177.3,2200.513533,132.9956928,108
185727217.4,2196.22635,134.4514298,109
187142257.5,2192.901231,136.5469512,110
188557297.7,2190.167579,138.3447711,111
189972337.8,2187.815936,140.7284331,112
191387377.9,2185.674562,143.0878722,113
192802418,2183.695965,145.6955109,114
194217458.1,2181.868048,147.950275,115
195632498.2,2180.389494,148.8207329,116
197047538.4,2179.11409,150.3140971,117
198462578.5,2177.98308,151.3913757,118
199877618.6,2177.02041,151.9312811,119
172991856.4,2379.94636,141.7192226,120
174406896.5,2272.331698,130.5131419,121
175821936.6,2245.623577,126.7179788,122
177236976.7,2231.701949,127.3648766,123
178652016.8,2223.303906,129.432933,124
180067057,2216.432645,131.225975,125
181482097.1,2210.554976,131.6086936,126
182897137.2,2205.24486,131.7513989,127
184312177.3,2200.513533,132.9956928,128
185727217.4,2196.22635,134.4514298,129
187142257.5,2192.901231,136.5469512,130
188557297.7,2190.167579,138.3447711,131
189972337.8,2187.815936,140.7284331,132
191387377.9,2185.674562,143.0878722,133
192802418,2183.695965,145.6955109,134
194217458.1,2181.868048,147.950275,135
195632498.2,2180.389494,148.8207329,136
197047538.4,2179.11409,150.3140971,137
198462578.5,2177.98308,151.3913757,138
199877618.6,2177.02041,151.9312811,139
172991856.4,2379.94636,141.9766758,140
174406896.5,2272.331698,130.5131419,141
175821936.6,2246.018165,128.5324218,142
177236976.7,2231.812021,128.5324218,143
