Economic_loss,Dislocation,Functionality,S
173810586.4,2164.227303,122.0263404,168
175634003.3,2162.285689,124.3357712,169
177457420.2,2160.571476,125.7106073,170
179280837.1,2159.227208,128.2432992,171
181104254.1,2158.185945,131.5834234,172
182927671,2157.301956,134.3875462,173
184751087.9,2156.505651,137.5631898,174
186574504.8,2155.772315,140.3276172,175
188397921.8,2155.188044,141.7783985,176
190221338.7,2154.705366,143.1755365,177
192044755.6,2154.287778,144.9353652,178
159223251,2213.902103,119.8706123,179
161046667.9,2199.673508,119.8706123,180
162870084.8,2190.23955,119.8706123,181
164693501.7,2182.836397,119.8706123,182
166516918.7,2176.708913,119.8706123,183
168340335.6,2172.011489,119.8706123,184
170163752.5,2168.849157,119.9417169,185
171987169.4,2166.412082,121.5636181,186
173810586.4,2164.227303,122.0263404,187
175634003.3,2162.285689,124.3357712,188
177457420.2,2160.571476,125.7106073,189
179280837.1,2159.227208,128.2432992,190
181104254.1,2158.185945,131.5834234,191
182927671,2157.301956,134.3875462,192
184751087.9,2156.505651,137.5631898,193
186574504.8,2155.772315,140.3276172,194
188397921.8,2155.188044,141.7783985,195
190221338.7,2154.705366,143.1755365,196
192044755.6,2154.287778,144.9353652,197
159223251,2218.441852,122.207849,198
161046667.9,2201.461333,122.207849,199
162870084.8,2191.530264,122.207849,200
164693501.7,2183.906537,122.207849,201
166516918.7,2177.671477,122.207849,202
168340335.6,2172.613161,122.207849,203
170163752.5,2168.932494,122.207849,204
171987169.4,2166.405865,122.2343859,205
173810586.4,2164.227865,122.207849,206
175634003.3,2162.285689,124.3357712,207
177457420.2,2160.571476,125.7106073,208
179280837.1,2159.227208,128.2432992,209
181104254.1,2158.185945,131.5834234,210
182927671,2157.301956,134.3875462,211
184751087.9,2156.505651,137.5631898,212
186574504.8,2155.772315,140.3276172,213
188397921.8,2155.188044,141.7783985,214
190221338.7,2154.705366,143.1755365,215
192044755.6,2154.287778,144.9353652,216
159223251,2225.929124,124.5450858,217
161046667.9,2204.074049,124.5450858,218
162870084.8,2193.12722,124.5450858,219
164693501.7,2185.146564,124.5450858,220
166516918.7,2178.802423,124.5450858,221
168340335.6,2173.553345,124.5450858,222
170163752.5,2169.3488,124.5450858,223
171987169.4,2166.47973,124.5450858,224
173810586.4,2164.253492,124.5450858,225
175634003.3,2162.291517,124.5450858,226
177457420.2,2160.571476,125.7106073,227
179280837.1,2159.227208,128.2432992,228
181104254.1,2158.185945,131.5834234,229
182927671,2157.301956,134.3875462,230
184751087.9,2156.505651,137.5631898,231
186574504.8,2155.772315,140.3276172,232
188397921.8,2155.188044,141.7783985,233
190221338.7,2154.705366,143.1755365,234
192044755.6,2154.287778,144.9353652,235
159223251,2235.847812,126.8823226,236
161046667.9,2208.565556,126.8823226,237
162870084.8,2195.224684,126.8823226,238
164693501.7,2186.72023,126.8823226,239
166516918.7,2180.155303,126.8823226,240
168340335.6,2174.755278,126.8823226,241
170163752.5,2170.22467,126.8823226,242
