sector,shock
HS3,0.39845394611774543
HS2,0.36620490085849117
HS1,0.2600140098720388
SERV2,0.3349354586942609
SERV1,0.2685573632166459
REST1,0.284066970282766
RETAIL2,0.2928931684434698
REST2,0.1705893970024509
RETAIL1,0.271148949298835
ACCOM1,0.1777502920620413
HC2,0.16721808857372417
UTIL,0.0
CONST2,0.3822240762662959
SERV3,0.3445290053832701
MANUF2,0.3898988094082001
HC3,0.370031873600075
AG3,0.30000000000000004
CONST3,0.5007934104943567
CONST1,0.5413230875110411
HC1,0.2120907428054902
ACCOM2,0.33353078494954896
AG2,0.6
RETAIL3,0.6
