"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.9941953463","0.9324191031","0.4325511765","0.1221602587","0.0058046537","0.0617762432","0.4998679266","0.3103909178","0.1221602587","yes"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9959287947","0.9495823841","0.4772779244","0.141741624","0.0040712053","0.0463464106","0.4723044597","0.3355363004","0.141741624","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.9957676884","0.947922179","0.4724433767","0.1395389264","0.0042323116","0.0478455094","0.4754788023","0.3329044503","0.1395389264","yes"
