"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"2048ed28-395e-4521-8fc5-44322534592e","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"d6ab5a29-1ca1-4096-a3c3-eb93b2178dfe","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"8d22fef3-71b6-4618-a565-955f4efe00bf","0.9999599182","0.9952899485","0.9133020846","0.5885115991","0.0000400818","0.0046699697","0.0819878639","0.3247904855","0.5885115991","yes"
"cfe182a2-c39c-4734-bcd5-3d7cadab8aff","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
