guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1968,W1,0.0,810.1837337429178,,,
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1992,W1,0.0,396.0439829547124,,,
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1974,W1,0.0,810.1837337429178,1.0,2.0,0.8055326101332763
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1984,W1,0.0,810.1837337429178,1.0,2.0,0.792102215078123
929f1040-6224-409d-b4e3-58946daf3b91,0.9949769235838866,0.940432859914396,0.8766986026236168,0.0050230764161134,0.0545440636694904,0.0637342572907793,0.8766986026236168,Earthquake+Tsunami,0.0,1964,W1,0.0,744.9799313137421,0.0,4.0,0.7932354149259534
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,11578.0,2007,W1,5795.986825979615,396.0439829547124,0.0,1.0,0.6638367661336108
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.9999999900940828,0.999999885677482,0.9999997664974756,9.905917086605598e-09,1.0441660103222008e-07,1.1918000641930605e-07,0.9999997664974756,Earthquake+Tsunami,67088.0,1941,W1,60379.19138796941,815.8667514234307,,,
050589e0-041f-4ac6-83f8-420ac509cdde,0.976248051026432,0.9099020775124298,0.7647368763403484,0.0237519489735681,0.066345973514002,0.1451652011720814,0.7647368763403484,Earthquake+Tsunami,8211.0,1990,RC,6392.316337706966,687.6654818787351,,,
09c131b1-089b-4f1a-a14b-b705be8f5520,0.9999497069571068,0.9994195764660584,0.9988144911201596,5.029304289327907e-05,0.0005301304910484,0.0006050853458987,0.9988144911201596,Earthquake+Tsunami,0.0,1970,W1,0.0,815.182574805765,1.0,3.0,0.7597406951024456
44656106-10fc-423d-bc34-f37a947493e3,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1975,W1,0.0,810.1837337429178,1.0,1.0,0.8377754776425018
0b4073d3-7d7e-439d-b9ef-1373291f37cc,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,11820.0,1992,W1,5917.132862591039,396.0439829547124,0.0,4.0,0.6101234436929477
bef20397-d546-475e-8dfd-b58a422019d8,0.9687707537,0.6395885304,0.2638634159,0.0312292463,0.3291822233,0.3757251144999999,0.2638634159,Earthquake+Tsunami,0.0,2006,W1,0.0,390.9466964458583,0.0,2.0,0.6410570135416761
f5e2c264-da77-4971-99d8-0c3d7562b986,0.9999994424924338,0.9999933886868226,0.9999863148683638,5.575075662234141e-07,6.053805611139218e-06,7.073818458880332e-06,0.9999863148683638,Earthquake+Tsunami,0.0,1988,W1,0.0,815.8590185169966,0.0,4.0,0.8398964683513033
d8ffb229-86e0-4907-97a5-84eb9ac248e6,0.9999999841698952,0.999999817307426,0.9999996268523654,1.5830104782565968e-08,1.6686246917529957e-07,1.904550606113276e-07,0.9999996268523654,Earthquake+Tsunami,109813.0,1959,W1,98831.67747298814,815.8666708160707,,,
0bf34a44-f8fe-41b4-a241-7c71ed06aa20,0.9819569553903084,0.9315575813802548,0.8104615425947305,0.0180430446096916,0.0503993740100535,0.1210960387855243,0.8104615425947305,Earthquake+Tsunami,25411.0,1,RC,20428.419451298807,714.0646802819754,0.0,3.0,0.822485772644985
340d43a0-35ff-4738-b11b-849434a662a4,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1998,W1,0.0,396.0439829547124,,,
defedc4a-ea47-45c6-87d5-4c374f6920e5,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1974,W1,0.0,810.1837337429178,1.0,1.0,0.8292020586218765
837b8691-a385-4519-a7bc-6eed26afc2a7,0.9999497069571068,0.9994195764660584,0.9988144911201596,5.029304289327907e-05,0.0005301304910484,0.0006050853458987,0.9988144911201596,Earthquake+Tsunami,0.0,1970,W1,0.0,815.182574805765,1.0,3.0,0.7315805736436833
3ae2a39b-f04a-4654-8d64-672205c5007d,0.9999497069571068,0.9994195764660584,0.9988144911201596,5.029304289327907e-05,0.0005301304910484,0.0006050853458987,0.9988144911201596,Earthquake+Tsunami,0.0,1968,W1,0.0,815.182574805765,1.0,3.0,0.7403999978216895
ed2894f9-e44b-4ff0-acfb-b05b1367702c,0.9999497069571068,0.9994195764660584,0.9988144911201596,5.029304289327907e-05,0.0005301304910484,0.0006050853458987,0.9988144911201596,Earthquake+Tsunami,0.0,1981,W1,0.0,815.182574805765,1.0,2.0,0.74517011721843
b2873126-ea18-4a3b-99d8-ad908f80ef8d,0.9999497069571068,0.9994195764660584,0.9988144911201596,5.029304289327907e-05,0.0005301304910484,0.0006050853458987,0.9988144911201596,Earthquake+Tsunami,0.0,1975,W1,0.0,815.182574805765,0.0,1.0,0.7172046745457706
afa1ef2f-7bbe-41ae-95b4-3c5873a58f99,0.9999994424924338,0.9999933886868226,0.9999863148683638,5.575075662234141e-07,6.053805611139218e-06,7.073818458880332e-06,0.9999863148683638,Earthquake+Tsunami,0.0,1990,W1,0.0,815.8590185169966,1.0,2.0,0.8364594938256997
113a852a-6876-4931-81f0-5158f0c70d14,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1971,W1,0.0,810.1837337429178,0.0,1.0,0.8284555842780793
9d304a7c-e3f2-491d-ab32-0a8ec91a8e30,0.999877851762302,0.9985903077700008,0.9971207186497824,0.000122148237698,0.001287543992301,0.0014695891202185,0.9971207186497824,Earthquake+Tsunami,0.0,1968,W1,0.0,814.2048783631859,1.0,2.0,0.8718241575344053
4ac0a784-57a8-4437-a8ec-c0fefb85012e,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1972,W1,0.0,810.1837337429178,1.0,0.0,0.8364297134303793
25bc3a48-29df-4335-ac04-3e186976490c,0.9887736374139746,0.9574152021285216,0.8701650324928438,0.0112263625860253,0.0313584352854531,0.0872501696356776,0.8701650324928438,Earthquake+Tsunami,716337.0,1945,RC,598895.5630645411,747.6694839717721,,,
3982d6c7-d2a6-48cf-ac99-de1dd8b42864,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1995,W1,0.0,396.0439829547124,,,
da7413ba-bc45-46a7-9516-9bc314d5604b,0.9995972896683224,0.9952243802893398,0.9901146742513344,0.0004027103316774,0.0043729093789827,0.0051097060380055,0.9901146742513344,Earthquake+Tsunami,0.0,1977,W1,0.0,810.1837337429178,1.0,1.0,0.8379952844617462
a436c038-22b1-4339-920b-cf430b4cf2e4,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1995,W1,0.0,396.0439829547124,1.0,2.0,0.6656906423140357
22aa85a2-af0c-436c-9f60-e4ff7254ec6f,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1993,W1,0.0,396.0439829547124,,,
919c4386-34ce-431d-ad36-ebad80c126d2,0.9999994424924338,0.9999933886868226,0.9999863148683638,5.575075662234141e-07,6.053805611139218e-06,7.073818458880332e-06,0.9999863148683638,Earthquake+Tsunami,0.0,1993,W1,0.0,815.8590185169966,1.0,1.0,0.8440398892965851
c9bb8034-b154-4950-8361-252628a6dcc9,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1995,W1,0.0,396.0439829547124,,,
1d96de99-2ee5-4756-bdba-322a6f705154,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1992,W1,0.0,396.0439829547124,,,
7c6bc4b6-d2ae-4eee-966c-da7692f14c22,0.9999994424924338,0.9999933886868226,0.9999863148683638,5.575075662234141e-07,6.053805611139218e-06,7.073818458880332e-06,0.9999863148683638,Earthquake+Tsunami,0.0,1992,W1,0.0,815.8590185169966,0.0,1.0,0.8589819467464715
6a6c5517-5860-44f7-8b7b-c62c1fe7c2a3,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,0.0,1992,W1,0.0,396.0439829547124,0.0,4.0,0.5977266558108087
a0821314-04d0-4c93-aee7-de7b199cfafa,0.9998907657357392,0.998704623982924,0.9973186278071472,0.0001092342642606,0.0011861417528151,0.0013859961757769,0.9973186278071472,Earthquake+Tsunami,1339.0,1975,W1,1203.1363043675312,814.3253439893388,0.0,2.0,0.810359007524834
f1d4feff-8c78-4f78-b2a3-1092748090d1,0.993401370137456,0.9217488493437388,0.8380235108087937,0.006598629862544,0.071652520793717,0.0837253385349452,0.8380235108087937,Earthquake+Tsunami,248070.0,1986,W1,201286.2876351149,722.7453131557309,1.0,2.0,0.7704426658793702
ff321c63-684b-4752-b9d2-6febe12aeee8,0.9665955508695938,0.87328738909634,0.6935672448866375,0.0334044491304061,0.0933081617732538,0.1797201442097025,0.6935672448866375,Earthquake+Tsunami,358766.0,0,RC,264656.7943305742,645.5352517344649,1.0,0.0,0.7700888060838551
c75351fa-df5b-49f9-b7a6-b12ab3d65ed8,0.9533796518363522,0.815685315733635,0.5896967460410968,0.0466203481636477,0.1376943361027172,0.2259885696925382,0.5896967460410968,Earthquake+Tsunami,0.0,0,RC,0.0,582.6904446611985,,,
9e34826a-b8a3-494b-9e53-4ac2366e0c71,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,8213.0,1994,W1,4111.456192932335,396.0439829547124,,,
afcdcdeb-5c8a-4e77-b049-c5a6c670b6c1,0.9998074503985064,0.9977166126621504,0.9952734872094952,0.0001925496014937,0.0020908377363557,0.0024431254526553,0.9952734872094952,Earthquake+Tsunami,46091.0,1950,W1,41362.75015980154,813.1495763793752,,,
2262169f-8798-48d7-a8d7-9efaa5c855f8,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,7260.0,2007,W1,3634.38109834272,396.0439829547124,,,
bc950354-d500-4419-a94c-076f8a40d7ab,0.970452558527395,0.6496058511624965,0.2746993036415031,0.029547441472605,0.3208467073648985,0.3749065475209933,0.2746993036415031,Earthquake+Tsunami,226333.0,1923,W1,113914.97220016817,398.8857421041499,0.0,2.0,0.6095280154924916
5b8fef41-677a-4834-9385-c4d6447209f8,0.998146756974581,0.9780229529151336,0.9545084653740912,0.001853243025419,0.0201238040594474,0.0235144875410422,0.9545084653740912,Earthquake+Tsunami,0.0,1992,W1,0.0,789.7134408156115,,,
9d6bfe3c-162e-4787-b44e-752047978163,0.9999999825428512,0.9999997985299888,0.9999995884996496,1.7457148726585103e-08,1.840128626140469e-07,2.1003033912059266e-07,0.9999995884996496,Earthquake+Tsunami,91170.0,1893,W1,82052.97937512607,815.866648677729,1.0,0.0,0.8389764846726997
4a6e0e6e-7216-4a33-b676-31df915546a0,0.9999994424924338,0.9999933886868226,0.9999863148683638,5.575075662234141e-07,6.053805611139218e-06,7.073818458880332e-06,0.9999863148683638,Earthquake+Tsunami,0.0,1988,W1,0.0,815.8590185169966,1.0,2.0,0.8729496247876279
9f2348e7-c47b-4a38-a66e-e96c15713f62,0.9999994424924338,0.9999933886868226,0.9999863148683638,5.575075662234141e-07,6.053805611139218e-06,7.073818458880332e-06,0.9999863148683638,Earthquake+Tsunami,0.0,1992,W1,0.0,815.8590185169966,1.0,5.0,0.8663363374107965
